Unnamed: 0,Unnamed: 1,Unnamed: 2,target name:,Unnamed: 4,Unnamed: 5,Baked Mac and Cheese,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,,,english name:,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
intro:,,,,,,,,,,,,,,,,vil / recipe code,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,quantity,
source:,,,,,,,,,,,,,,,,calculator,
region:,,,,,,,,,,,,,,,,70,
,,,,,,,,,,,,,,,,,
ingredients:,,,,,,,,,quantity,,unit,,50 servings,75 servings,,servings,
1),,Elbow mac,,,,,,,0.5,,#,,3.125,4.6875,,4.375,
2),,butter,,,,,,,3,,T,,18.75,28.125,,26.25,
3),,flour,,,,,,,3,,T,,18.75,28.125,,26.25,
4),,mustard powder,,,,,,,1,,T,,6.25,9.375,,8.75,
5),,milk,,,,,,,3,,c,,18.75,28.125,,26.25,
6),,onion- finely diced,,,,,,,0.5,,ct,,3.125,4.6875,,4.375,
7),,bay leaf,,,,,,,1,,ct,,6.25,9.375,,8.75,
8),,paprika,,,,,,,0.5,,t,,3.125,4.6875,,4.375,
9),,eggs,,,,,,,1,,ct,,6.25,9.375,,8.75,
10),,Cheddar -shredded,,,,,,,0.75,,#,,4.6875,7.03125,,6.5625,
11),,kosher salt,,,,,,,1,,t,,6.25,9.375,,8.75,
12),,black pepper,,,,,,,,,,,0,0,,0,
13),,,,,,,,,,,,, , ,, ,
14),,topping,,,,,,,,,,,0,0,,0,
15),,butter,,,,,,,3,,T,,18.75,28.125,,26.25,
16),,panko bread crumbs,,,,,,,1,,c,,6.25,9.375,,8.75,
17),,,,,,,,,,,,, , ,, ,
18),,,,,,,,,,,,, , ,, ,
19),,,,,,,,,,,,, , ,, ,
20),,,,,,,,,,,,, , ,, ,
,,,,,,,,,,,,,,,,,
"As it appears above, recipe yields how many servings?",,,,,,,,,8,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
cooking instructions:,,,,,,,,,,,,,,,,,
"Cook pasta to al dente                                                                                                                            In separate pot melt butter, whisk in flour and mustard for a bout 5 mins. Stir in milk, onion, bay leaf, and paprika. Simmer for 10mins, remove bay leaf.                                                                                          Temper in eggs. Stir in 3/4 of the cheese. Season with salt and pepper. Fold in pasta. Pour mixture into baiking pan. Top with remaining cheese.                                                                                                      Topping: Melt butter in sautee pan and bread crumbs and coat with butter. Top mac & cheese with bread crumbs. Bake for 30 minutes @ 350.  let rest before serving.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
comments:,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, 
