Unnamed: 0,Unnamed: 1,Unnamed: 2,target name:,Unnamed: 4,Unnamed: 5,Baked Walleye,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,,,english name:,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
intro:,,,,,,,,,,,,,,,,vil / recipe code,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,quantity,
source:,,,,,,,,,,,,,,,,calculator,
region:,,,,,,,,,,,,,,,,70,
,,,,,,,,,,,,,,,,,
ingredients:,,,,,,,,,quantity,,unit,,50 servings,75 servings,,servings,
1),,butter,,,,,,,0.5,,c,,12.5,18.75,,17.5,
2),,bread crumbs,,,,,,,0.6666666666666666,,c,,16.666666666666664,25,,23.333333333333332,
3),,Grated Parmesan,,,,,,,0.25,,c,,6.25,9.375,,8.75,
4),,basil,,,,,,,0.5,,t,,12.5,18.75,,17.5,
5),,oregano,,,,,,,0.5,,t,,12.5,18.75,,17.5,
6),,salt,,,,,,,0.5,,t,,12.5,18.75,,17.5,
7),,garlic powder,,,,,,,0.25,,t,,6.25,9.375,,8.75,
8),,Walleye fillet,,,,,,,1,,#,,25,37.5,,35,
9),,,,,,,,,,,,, , ,, ,
10),,,,,,,,,,,,, , ,, ,
11),,,,,,,,,,,,, , ,, ,
12),,,,,,,,,,,,, , ,, ,
13),,,,,,,,,,,,, , ,, ,
14),,,,,,,,,,,,, , ,, ,
15),,,,,,,,,,,,, , ,, ,
16),,,,,,,,,,,,, , ,, ,
17),,,,,,,,,,,,, , ,, ,
18),,,,,,,,,,,,, , ,, ,
19),,,,,,,,,,,,, , ,, ,
20),,,,,,,,,,,,, , ,, ,
,,,,,,,,,,,,,,,,,
"As it appears above, recipe yields how many servings?",,,,,,,,,2,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
cooking instructions:,,,,,,,,,,,,,,,,,
"Preheat oven 325.  Melt butter. Combine bread crumbs, cheese, basil, oregano, salt, and garlic.  Dip fish in butter then bread crumbs. Arrange on sheet pan. Bake 25-30 minutes",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
comments:,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, 
