Unnamed: 0,Unnamed: 1,Unnamed: 2,target name:,Unnamed: 4,Unnamed: 5,Caribbean Slaw,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,,,english name:,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
intro:,,,,,,,,,,,,,,,,vil / recipe code,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,quantity,
source:,,,,,,,,,,,,,,,,calculator,
region:,,,,,,,,,,,,,,,,70,
,,,,,,,,,,,,,,,,,
ingredients:,,,,,,,,,quantity,,unit,,50 servings,75 servings,,servings,
1),,Green cabbage -shredded,,,,,,,0.5,,ct,,3.125,4.6875,,4.375,
2),,Red pepper -thinly sliced,,,,,,,1,,ct,,6.25,9.375,,8.75,
3),,Red Onion thinly sliced,,,,,,,0.5,,ct,,3.125,4.6875,,4.375,
4),,Carrots -shredded,,,,,,,2,,ct,,12.5,18.75,,17.5,
5),,Mango -diced,,,,,,,1,,ct,,6.25,9.375,,8.75,
6),,Cilantro,,,,,,,0.5,,c,,3.125,4.6875,,4.375,
7),,,,,,,,,,,,, , ,, ,
8),,Dressing:,,,,,,,,,,,0,0,,0,
9),,plain  yogurt,,,,,,,0.33,,c,,2.0625,3.09375,,2.8875,
10),,mayo,,,,,,,2,,T,,12.5,18.75,,17.5,
11),,yellow mustard,,,,,,,1,,T,,6.25,9.375,,8.75,
12),,Cider vinegar,,,,,,,1,,T,,6.25,9.375,,8.75,
13),,agave nectar,,,,,,,1,,t,,6.25,9.375,,8.75,
14),,salt and pepper to taste,,,,,,,,,,,0,0,,0,
15),,,,,,,,,,,,, , ,, ,
16),,,,,,,,,,,,, , ,, ,
17),,,,,,,,,,,,, , ,, ,
18),,,,,,,,,,,,, , ,, ,
19),,,,,,,,,,,,, , ,, ,
20),,,,,,,,,,,,, , ,, ,
,,,,,,,,,,,,,,,,,
"As it appears above, recipe yields how many servings?",,,,,,,,,8,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
cooking instructions:,,,,,,,,,,,,,,,,,
"Toss the cabbage, red bell pepper, red onion, carrots, mango, and cilantro together in a large bowl.              Whisk the yogurt, mayonnaise, mustard, cider vinegar, agave nectar, salt, & pepper, together in a small bowl; pour over the cabbage mixture and toss to coat. Allow the slaw to marinate in the refrigerator for at least 1 hour to allow the flavors to combine.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
comments:,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, 
