Unnamed: 0,Unnamed: 1,Unnamed: 2,target name:,Unnamed: 4,Unnamed: 5,Carrot Souffle,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,,,english name:,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
intro:,,,,,,,,,,,,,,,,vil / recipe code,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,quantity,
source:,,,,,,,,,,,,,,,,calculator,
region:,,,,,,,,,,,,,,,,96,
,,,,,,,,,,,,,,,,,
ingredients:,,,,,,,,,quantity,,unit,,50 servings,75 servings,,servings,
1),,Carrots,,,,,,,2,,#,,8.333333333333332,12.5,,16,
2),,Whole Milk,,,,,,,1,,c,,4.166666666666666,6.25,,8,
3),,Saltines,,,,,,,1,,c,,4.166666666666666,6.25,,8,
4),,Cheddar Cheese - shred,,,,,,,0.75,,c,,3.125,4.6875,,6,
5),,Onion -minced,,,,,,,0.3333333333333333,,c,,1.3888888888888888,2.083333333333333,,2.6666666666666665,
6),,Butter,,,,,,,1,,T,,4.166666666666666,6.25,,8,
7),,Kosher Salt,,,,,,,1,,t,,4.166666666666666,6.25,,8,
8),,Cayenne Pepper,,,,,,,0.125,,t,,0.5208333333333333,0.78125,,1,
9),,Black Pepper,,,,,,,0.25,,t,,1.0416666666666665,1.5625,,2,
10),,Eggs,,,,,,,3,,ct,,12.5,18.75,,24,
11),,,,,,,,,,,,, , ,, ,
12),,,,,,,,,,,,, , ,, ,
13),,,,,,,,,,,,, , ,, ,
14),,,,,,,,,,,,, , ,, ,
15),,,,,,,,,,,,, , ,, ,
16),,,,,,,,,,,,, , ,, ,
17),,,,,,,,,,,,, , ,, ,
18),,,,,,,,,,,,, , ,, ,
19),,,,,,,,,,,,, , ,, ,
20),,,,,,,,,,,,, , ,, ,
,,,,,,,,,,,,,,,,,
"As it appears above, recipe yields how many servings?",,,,,,,,,12,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
cooking instructions:,,,,,,,,,,,,,,,,,
"1 Preheat oven to 350°F. Butter a 2-quart baking dish and set aside.
2 Place carrots in a saucepan and cover with an inch of water. Add about 1 teaspoon of salt to the water. Bring to a boil and cook for about 10 minutes, or until the carrots are tender. Strain the carrots and purée in a food processor or with an immersion blender.
3 Place carrot purée in a large bowl. Slowly add in the milk, a little at a time, whisking after each addition so that the mixture stays smooth, not lumpy. Mix in the saltine cracker crumbs, the grated cheese, onion, butter, Kosher salt, cayenne, and black pepper.
4 In a separate bowl, whip up the eggs until frothy. Then whisk them into the carrot purée mixture.
5 Transfer the mixture into the prepared baking dish. Bake for 40-45 minutes, until puffed up a bit and lightly golden.

",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
comments:,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, 
