Unnamed: 0,Unnamed: 1,Unnamed: 2,target name:,Unnamed: 4,Unnamed: 5,Chicken Geera,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,,,english name:,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
intro:,,,,,,,,,,,,,,,,vil / recipe code,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,quantity,
source:,,,,,,,,,,,,,,,,calculator,
region:,,,,,,,,,,,,,,,,110,
,,,,,,,,,,,,,,,,,
ingredients:,,,,,,,,,quantity,,unit,,50 servings,75 servings,,servings,
1),,Chicken Thighs,,,,,,,1,,#,,12.5,18.75,,27.5,
2),,Cumin,,,,,,,2,,T,,25,37.5,,55,
3),,Curry Powder,,,,,,,1,,T,,12.5,18.75,,27.5,
4),,Garlic Chopped,,,,,,,4,,ct,,50,75,,110,
5),,Cilantro sm bunch,,,,,,,3,,ct,,37.5,56.25,,82.5,
6),,Chive,,,,,,,1,,ct,,12.5,18.75,,27.5,
7),,Pimento,,,,,,,1,,ct,,12.5,18.75,,27.5,
8),,Thyme Fresh,,,,,,,taste,,,,,,,,
9),,Pepper (jal or pob),,,,,,,taste,,,,,,,,
10),,Salt,,,,,,,taste,,,,,,,,
11),,onion,,,,,,,0.25,,ct,,3.125,4.6875,,6.875,
12),,,,,,,,,,,,, , ,, ,
13),,,,,,,,,,,,, , ,, ,
14),,,,,,,,,,,,, , ,, ,
15),,,,,,,,,,,,, , ,, ,
16),,,,,,,,,,,,, , ,, ,
17),,,,,,,,,,,,, , ,, ,
18),,,,,,,,,,,,, , ,, ,
19),,,,,,,,,,,,, , ,, ,
20),,,,,,,,,,,,, , ,, ,
,,,,,,,,,,,,,,,,,
"As it appears above, recipe yields how many servings?",,,,,,,,,4,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
cooking instructions:,,,,,,,,,,,,,,,,,
"Mix meat with Salt, Thyme, Cilantro, Onion, Pimento, Chive, Curry and 1/2 the Garlic..  Let mixture marinade for one hour.  Sautee remaining garlic in oil, add meat mixture and pepper, cook, adding water as needed to keep mixture moist. Add cumin just before finished cooking.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
comments:,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, 
