Unnamed: 0,Unnamed: 1,Unnamed: 2,target name:,Unnamed: 4,Unnamed: 5,Chicken and Sausage Gumbo,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,,,english name:,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
intro:,,,,,,,,,,,,,,,,vil / recipe code,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,quantity,
source:,,,,foodnetwork.com,,,,,,,,,,,,calculator,
region:,,,,,,,,,,,,,,,,110,
,,,,,,,,,,,,,,,,,
ingredients:,,,,,,,,,quantity,,unit,,50 servings,75 servings,,servings,
1),,Veg oil,,,,,,,0.5,,c,,1.25,1.875,,2.75,
2),,Smoked Sausage,,,,,,,1,,lbs,,2.5,3.75,,5.5,
3),,Chicken Thighs,,,,,,,4,,lbs,,10,15,,22,
4),,Creole Seasoning,,,,,,,1,,T,,2.5,3.75,,5.5,
5),,AP Flour,,,,,,,1,,c,,2.5,3.75,,5.5,
6),,Onion,,,,,,,2,,c,,5,7.5,,11,
7),,Celery,,,,,,,1,,c,,2.5,3.75,,5.5,
8),,Grn Peppers,,,,,,,1,,c,,2.5,3.75,,5.5,
9),,salt,,,,,,,1,,t,,2.5,3.75,,5.5,
10),,Cayenne Pepper,,,,,,,0.25,,t,,0.625,0.9375,,1.375,
11),,Bay Leaves,,,,,,,3,,ct,,7.5,11.25,,16.5,
12),,Chicken Stock,,,,,,,9,,c,,22.5,33.75,,49.5,
13),,Green Onion,,,,,,,0.5,,c,,1.25,1.875,,2.75,
14),,Parsley -chopped,,,,,,,2,,T,,5,7.5,,11,
15),,File Powder -sub corn starch if we don't have,,,,,,,1,,T,,2.5,3.75,,5.5,
16),,,,,,,,,,,,, , ,, ,
17),,,,,,,,,,,,, , ,, ,
18),,,,,,,,,,,,, , ,, ,
19),,,,,,,,,,,,, , ,, ,
20),,,,,,,,,,,,, , ,, ,
,,,,,,,,,,,,,,,,,
"As it appears above, recipe yields how many servings?",,,,,,,,,20,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
cooking instructions:,,,,,,,,,,,,,,,,,
"Put some of the oil in skillet,  Add the sausage and cook until well browned, about 8 minutes. Remove the sausage with a slotted spoon and drain on paper towels. Set aside.
Season the chicken with the Creole seasoning and cook until well browned, 5 to 6 minutes. Remove the chicken from the pan, let cool, and then refrigerate until ready to use.
Combine the remaining  oil and the flour in skillet and make a roux
Add the onions, celery, and bell peppers and cook, stirring, until wilted, 4 to 5 minutes. Add the reserved sausage, salt, cayenne, and bay leaves, stir, and cook for 2 minutes. Stirring, slowly add the chicken stock, and cook, stirring, until well combined. Bring the mixture to a boil. Reduce the heat to medium-low and cook, uncovered and stirring occasionally, for 1 hour.
Shred chicken and add to skillet and simmer for 1 1/2 hours, skimming off any fat that rises to the surface.
Turn off heat. Remove and discard the bay leaves. and stir in the green onions, parsley, and file powder.
",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
comments:,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, 
