Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Cracked Wheat Bread,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
intro:,,,,,,,,,,,,,,,,vil / recipe code,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,quantity,
source:,,,,,,,,,,,,,,,,calculator,
,,,,,,,,,,,,,,,,6,
,,,,,,,,,,,,,,,,,
ingredients:,,,,,,,,,quantity,,unit,,4 loaves,12 loaves,,loaves,
hot water (from the tap is fine),,,,,,,,,5.75,,#,,2.875,8.625,,4.3125,
cracked wheat,,,,,,,,,2.97,,#,,1.485,4.455,,2.2275,
brown sugar or honey,,,,,,,,,0.57,,#,,0.285,0.855,,0.4275,
salt,,,,,,,,,0.18,,#,,0.09,0.27,,0.135,
bread flour,,,,,,,,,4.11,,#,,2.055,6.165000000000001,,3.0825000000000005,
whole wheat flour,,,,,,,,,2.97,,#,,1.485,4.455,,2.2275,
instant yeast,,,,,,,,,0.08,,#,,0.04,0.12,,0.06,
butter or shortening,,,,,,,,,0.57,,#,,0.285,0.855,,0.4275,
,,,,,,,,,,,,, , ,, ,
,,,,,,,,,,,,, , ,,12.900000000000002,
,,,,,,,,,,,,, , ,, ,
,,,,,,,,,,,,, , ,, ,
,,,,,,,,,,,,, , ,, ,
,,,,,,,,,,,,, , ,, ,
,,,,,,,,,,,,, , ,, ,
,,,,,,,,,,,,, , ,, ,
,,,,,,,,,,,,, , ,, ,
,,,,,,,,,,,,, , ,, ,
,,,,,,,,,,,,, , ,, ,
,,,,,,,,,,,,, , ,, ,
,,,,,,,,,,,,,,,,,
"As it appears above, recipe yields how many loaves?",,,,,,,,,8,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
cooking instructions:,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Soak cracked wheat with brown sugar or honey, and the salt, in the hot water for 30-45 minutes.  Add bread flour, whole  ",,,,,,,,,,,,,,,,,
"wheat flour and yeast and mix on low speed on mixer until it just starts to pull together.  Add the butter or shortening and mix, ",,,,,,,,,,,,,,,,,
then knead on low speed for 10 minutes.  Cover with plastic wrap and let rise until doubled.  Turn out onto work table and divide,,,,,,,,,,,,,,,,,
"into 30-oz portions. Let rest 10 minutes, then shape into loaves (long or round), and place in greased loaf pans or on lined sheet",,,,,,,,,,,,,,,,,
"pans.  Place in proofing cabinet and let rise until doubled again.  Bake at 325° for 25 minutes, then rotate pans and pull out vent",,,,,,,,,,,,,,,,,
"or damper, and bake an additional 10 minutes.  Remove from pans immediately and place on cooling racks to cool.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,continued on additional instructions page…,,,,,,
,,,,,,,,,,,,,,,,,
comments:,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,continued on additional comments page…,,,,,,
