Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Creamy Tomato Soup,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,FB,Unnamed: 17
,,,,,,Tomato Bisque,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
intro:,,,,,,,,,,,,,,,,vil / recipe code,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,quantity,
source:,,,,an amalgamation of various recipes; -JRR Syväoja,,,,,,,,,,,,calculator,
,,,,,,,,,,,,,,,,55,
,,,,,,,,,,,,,,,,,
ingredients:,,,,,,,,,quantity,,unit,,50 servings,75 servings,,servings,
1),,"Onion, medium",,,,,,,2,,ct,,20,30,,22,
2),,"Garlic Clove, sliced",,,,,,,1,,ct,,10,15,,11,
3),,Butter,,,,,,,2,,T,,20,30,,22,
4),,Salt,,,,,,,0.25,,t,,2.5,3.75,,2.75,
5),,Pepper,,,,,,,0.13,,t,,1.3,1.9500000000000002,,1.4300000000000002,
6),,"Tomatoes, large, peeled and cubed",,,,,,,4,,ct,,40,60,,44,
7),,Water,,,,,,,0.5,,c,,5,7.5,,5.5,
8),,Chicken Stock base,,,,,,,1,,t,,10,15,,11,
9),,Cream,,,,,,,0.5,,c,,5,7.5,,5.5,
10),,,,,,,,,,,,, , ,, ,
11),,,,,,,,,,,,, , ,, ,
12),,,,,,,,,,,,, , ,, ,
13),,,,,,,,,,,,, , ,, ,
14),,,,,,,,,,,,, , ,, ,
15),,,,,,,,,,,,, , ,, ,
16),,,,,,,,,,,,, , ,, ,
17),,,,,,,,,,,,, , ,, ,
18),,,,,,,,,,,,, , ,, ,
19),,,,,,,,,,,,, , ,, ,
20),,,,,,,,,,,,, , ,, ,
,,,,,,,,,,,,,,,,,
"As it appears above, recipe yields how many servings?",,,,,,,,,5,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
cooking instructions:,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"In a pot, cook the onion and garlic in butter over low heat for 3 minutes.  Add the next 6 ingredients to the pan.  Cover and simmer it to 10 min. Whisk in most of the cream, leaving some for a drizzle garnish. Blend with immersion blender until uniform. Pour soup into tureens and garnish with a drizzle of the remaining cream. Serve warm.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,continued on additional instructions page…,,,,,,
,,,,,,,,,,,,,,,,,
comments:,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,FB
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,continued on additional comments page…,,,,,,
