Unnamed: 0,Unnamed: 1,Unnamed: 2,target name:,Unnamed: 4,Unnamed: 5,Fish Chowder,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,,,english name:,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
intro:,,,,,,,,,,,,,,,,vil / recipe code,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,quantity,
source:,,,,,,,,,,,,,,,,calculator,
region:,,,,,,,,,,,,,,,,130,
,,,,,,,,,,,,,,,,,
ingredients:,,,,,,,,,quantity,,unit,,50 servings,75 servings,,servings,
1),,Water,,,,,,,4,,c,,33.33333333333333,50,,86.66666666666666,
2),,Salt,,,,,,,2,,t,,16.666666666666664,25,,43.33333333333333,
3),,Medium Onion,,,,,,,1,,ct,,8.333333333333332,12.5,,21.666666666666664,
4),,Dillweed,,,,,,,0.5,,t,,4.166666666666666,6.25,,10.833333333333332,
5),,Allspice,,,,,,,1,,t,,8.333333333333332,12.5,,21.666666666666664,
6),,Pepper,,,,,,,0.5,,T,,4.166666666666666,6.25,,10.833333333333332,
7),,Medium Potato,,,,,,,4,,ct,,33.33333333333333,50,,86.66666666666666,
8),,Cod,,,,,,,1,,lbs,,8.333333333333332,12.5,,21.666666666666664,
9),,Evaporated Milk,,,,,,,12,,oz,,100,150,,260,
10),,Butter,,,,,,,4,,T,,33.33333333333333,50,,86.66666666666666,
11),,,,,,,,,,,,, , ,, ,
12),,,,,,,,,,,,, , ,, ,
13),,,,,,,,,,,,, , ,, ,
14),,,,,,,,,,,,, , ,, ,
15),,,,,,,,,,,,, , ,, ,
16),,,,,,,,,,,,, , ,, ,
17),,,,,,,,,,,,, , ,, ,
18),,,,,,,,,,,,, , ,, ,
19),,,,,,,,,,,,, , ,, ,
20),,,,,,,,,,,,, , ,, ,
,,,,,,,,,,,,,,,,,
"As it appears above, recipe yields how many servings?",,,,,,,,,6,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
cooking instructions:,,,,,,,,,,,,,,,,,
"Place the water, salt, onion, dillweed, allspice, pepper and potatoes in a large pot and bring to a boil.  Simmer until the potatoes are almost done.  Lay the fish on top of the potatoes, cover, and simmer until the fish flakes when pierced with a fork.  With a large spoon, break the fish into pieces the same size as the potato cubes, and stir into the soup.  Add the evaporated milk and the butter, stir, and simmer for 5 minutes.  Pour into a serving bowl and garnish with fresh dill.  Serve with sour rye bread.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
comments:,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, 
