Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Fried Chicken,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,,,,,,Brathaehnchen,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
intro:,,,,,,,,,,,,,,,,vil / recipe code,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,quantity,
source:,,,,,,,,,,,,,,,,calculator,
,,,,,,,,,,,,,,,,70,
,,,,,,,,,,,,,,,,,
ingredients:,,,,,,,,,quantity,,unit,,50 servings,75 servings,,servings,
1),,"Fryer Chicken, cut up",,,,,,,1.67,,ct,,8.35,12.524999999999999,,11.69,
2),,Egg,,,,,,,3.33,,ct,,16.650000000000002,24.975,,23.310000000000002,
3),,Butter,,,,,,,3.33,,Tbsp,,16.650000000000002,24.975,,23.310000000000002,
4),,AP Flour,,,,,,,1.76,,cup,,8.799999999999999,13.2,,12.319999999999999,
5),,Parsley,,,,,,,3.33,,Tbsp,,16.650000000000002,24.975,,23.310000000000002,
6),,Salt,,,,,,,5,,Tsp,,25,37.5,,35,
7),,Black Pepper,,,,,,,0.83,,Tsp,,4.1499999999999995,6.225,,5.81,
8),,Beer,,,,,,,0.83,,cup,,4.1499999999999995,6.225,,5.81,
9),,Vegetable Oil for Frying,,,,,,,,,,,0,0,,0,
10),,,,,,,,,,,,, , ,, ,
11),,,,,,,,,,,,, , ,, ,
12),,,,,,,,,,,,, , ,, ,
13),,,,,,,,,,,,, , ,, ,
14),,,,,,,,,,,,, , ,, ,
15),,,,,,,,,,,,, , ,, ,
16),,,,,,,,,,,,, , ,, ,
17),,,,,,,,,,,,, , ,, ,
18),,,,,,,,,,,,, , ,, ,
19),,,,,,,,,,,,, , ,, ,
20),,,,,,,,,,,,, , ,, ,
,,,,,,,,,,,,,,,,,
"As it appears above, recipe yields how many servings?",,,,,,,,,10,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
cooking instructions:,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"    1, Rub chicken with 2 tsp of the salt and 1/4 tsp of the pepper. Cover loosely with platisc wrap and refrigerate 1 hour.    2, Sift flour and remaining salt and pepper into a medium bowl. Beat in the eggs and beer until smooth. Add butter or maragarine and parsley; stir to combine. 3, Dip chicken, 1 piece at a time, in battter, turning chicken to caot heavily and evenly with batter. Let excess batter drip off. Place battered chicken on a backing sheet so they don't touch one another. Refrigertae, uncovered, 1 hour.   4, Preheat over to 350F. In a large saucepan or deep fryer, heat vetagable oil to 360F. Fry chciken until turns a light colour, about 10 mintues. Remove chicken; drain on paper towels. Arrange fried chicken in a shallow baking dish. Bake, uncovered, 20 to 30 mins or until crispy and browned.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,continued on additional instructions page…,,,,,,
,,,,,,,,,,,,,,,,,
comments:,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,continued on additional comments page…,,,,,,
