Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Grandma's Fancy Meat Loaf,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
intro:,,,,,,,,,,,,,,,,vil / recipe code,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,quantity,
source:,,,,,,,,,,,,,,,,calculator,
,,,,,,,,,,,,,,,,15,
,,,,,,,,,,,,,,,,,
ingredients:,,,,,,,,,quantity,,unit,,50 servings,75 servings,,servings,
1),,Ground Beef,,,,,,,1,,#,,12.5,18.75,,3.75,
2),,Bread Crumbs,,,,,,,0.66,,c,,8.25,12.375,,2.475,
3),,Milk,,,,,,,0.75,,c,,9.375,14.0625,,2.8125,
4),,Smoked Ham,,,,,,,0.25,,#,,3.125,4.6875,,0.9375,
5),,Egg Yolks,,,,,,,2,,ct,,25,37.5,,7.5,
6),,Potato Flour,,,,,,,1,,T,,12.5,18.75,,3.75,
7),,Whipping Cream,,,,,,,0.75,,c,,9.375,14.0625,,2.8125,
8),,Salt,,,,,,,1,,t,,12.5,18.75,,3.75,
9),,White Pepper,,,,,,,0.5,,t,,6.25,9.375,,1.875,
10),,Egg Whites,,,,,,,2,,ct,,25,37.5,,7.5,
11),,,,,,,,,,,,, , ,, ,
12),,,,,,,,,,,,, , ,, ,
13),,,,,,,,,,,,, , ,, ,
14),,,,,,,,,,,,, , ,, ,
15),,,,,,,,,,,,, , ,, ,
16),,,,,,,,,,,,, , ,, ,
17),,,,,,,,,,,,, , ,, ,
18),,,,,,,,,,,,, , ,, ,
19),,,,,,,,,,,,, , ,, ,
20),,,,,,,,,,,,, , ,, ,
,,,,,,,,,,,,,,,,,
"As it appears above, recipe yields how many servings?",,,,,,,,,4,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
cooking instructions:,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Heat the oven to 350.  Mix the milk and bread crumbs and let the mixture stand for 10 minutes to swell.  Chop the smoked ham into very fine pieces.  Mix the meat mixture, softened bread crumbs, ham, eff yolks, potato flour, cream, salt and pepper.  Work the mixture until smooth.  Beat the egg whites well and fold them into the meat mixture.  Press the meat into a well-greased bundt pan.  Cover tightly with foil.  Put the bundt pan into another pan.  Put 1 or 2 cups of water into the larger pan and bake in the oven for about 1 hour.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,continued on additional instructions page…,,,,,,
,,,,,,,,,,,,,,,,,
comments:,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,continued on additional comments page…,,,,,,
