Unnamed: 0,Unnamed: 1,Unnamed: 2,target name:,Unnamed: 4,Unnamed: 5,Green Bean Casserole,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,,,english name:,,,Green Bean Casserole,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
intro:,,,,,,,,,,,,,,,,vil / recipe code,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,quantity,
source:,,,,,,,,,,,,,,,,calculator,
region:,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ingredients:,,,,,,,,,quantity,,unit,,50 servings,75 servings,,servings,
1),,butter,,,,,,,2.5,,T,,20.833333333333336,31.25,,0,
2),,onion -diced,,,,,,,0.5,,c,,4.166666666666666,6.25,,0,
3),,mushrooms -sliced,,,,,,,0.5,,c,,4.166666666666666,6.25,,0,
4),,green beans,,,,,,,2,,c,,16.666666666666664,25,,0,
5),,chicken broth,,,,,,,3,,c,,25,37.5,,0,
6),,cream of mushroom soup,,,,,,,10.75,,oz,,89.58333333333334,134.375,,0,
7),,french-fried onion rings (canned),,,,,,,2.8,,oz,,23.333333333333332,34.99999999999999,,0,
8),,Salt,,,,,,,1,,pinch,,8.333333333333332,12.5,,0,
9),,pepper,,,,,,,1,,pinch,,8.333333333333332,12.5,,0,
10),,garlic,,,,,,,1,,pinch,,8.333333333333332,12.5,,0,
11),,cheddar -grated,,,,,,,1,,c,,8.333333333333332,12.5,,0,
12),,,,,,,,,,,,, , ,, ,
13),,,,,,,,,,,,, , ,, ,
14),,,,,,,,,,,,, , ,, ,
15),,,,,,,,,,,,, , ,, ,
16),,,,,,,,,,,,, , ,, ,
17),,,,,,,,,,,,, , ,, ,
18),,,,,,,,,,,,, , ,, ,
19),,,,,,,,,,,,, , ,, ,
20),,,,,,,,,,,,, , ,, ,
,,,,,,,,,,,,,,,,,
"As it appears above, recipe yields how many servings?",,,,,,,,,6,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
cooking instructions:,,,,,,,,,,,,,,,,,
"Preheat the oven to 350 degrees F.

Melt the butter in a large skillet. Saute the onions and mushrooms in the butter. Boil green beans in chicken broth for 10 minutes and drain. Add the green beans, mushroom soup, onion rings, and House Seasoning, to taste, to the onion mixture. Stir well. Pour into a greased 1 1/2-quart baking dish. Bake for 20 minutes, then top the casserole with the Cheddar and bake for 10 minutes longer, or until the casserole is hot and cheese is melted.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
comments:,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, 
