Unnamed: 0,Unnamed: 1,Unnamed: 2,target name:,Unnamed: 4,Unnamed: 5,Harvest Quiche,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,,,english name:,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
intro:,,,,,,,,,,,,,,,,vil / recipe code,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,quantity,
source:,,,,,,,,,,,,,,,,calculator,
region:,,,,,,,,,,,,,,,,60,
,,,,,,,,,,,,,,,,,
ingredients:,,,,,,,,,quantity,,unit,,50 servings,75 servings,,servings,
1),,Red pepper -chopped,,,,,,,0.3333333333333333,,c,,1.6666666666666667,2.5,,2,
2),,Green Pepper -chopped,,,,,,,0.3333333333333333,,c,,1.6666666666666667,2.5,,2,
3),,Zucchini -chopped,,,,,,,0.3333333333333333,,c,,1.6666666666666667,2.5,,2,
4),,Onion -chopped,,,,,,,0.3333333333333333,,c,,1.6666666666666667,2.5,,2,
5),,Fresh basil -finely chopped,,,,,,,1,,T,,5,7.5,,6,
6),,Salt  -to taste,,,,,,,,,,,0,0,,0,
7),, Pepper  -to taste,,,,,,,,,,,0,0,,0,
8),,Olive oil -enough to coat veggies,,,,,,,,,,,0,0,,0,
9),,Feta crumbled,,,,,,,4,,T,,20,30,,24,
10),,Eggs,,,,,,,4,,ct,,20,30,,24,
11),,Milk,,,,,,,0.75,,c,,3.75,5.625,,4.5,
12),,Cream,,,,,,,0.75,,c,,3.75,5.625,,4.5,
13),,,,,,,,,,,,, , ,, ,
14),,Premade pie crust,,,,,,,1,,ct,,5,7.5,,6,
15),,,,,,,,,,,,, , ,, ,
16),,,,,,,,,,,,, , ,, ,
17),,,,,,,,,,,,, , ,, ,
18),,,,,,,,,,,,, , ,, ,
19),,,,,,,,,,,,, , ,, ,
20),,,,,,,,,,,,, , ,, ,
,,,,,,,,,,,,,,,,,
"As it appears above, recipe yields how many servings?",,,,,,,,,10,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
cooking instructions:,,,,,,,,,,,,,,,,,
"Sprickle veggies with salt and pepper, coat with oil.  Put veggies in pie crust. Mix eggs milk and cream well and pour over veggies.  Sprinkle feta on top. Bake at 375 for 30-35 mins.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
comments:,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, 
