Unnamed: 0,Unnamed: 1,Unnamed: 2,target name:,Unnamed: 4,Unnamed: 5,Irish Stew,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,,,english name:,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
intro:,,,,,,,,,,,,,,,,vil / recipe code,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,quantity,
source:,,,,,,,,,,,,,,,,calculator,
region:,,,,,,,,,,,,,,,,110,
,,,,,,,,,,,,,,,,,
ingredients:,,,,,,,,,quantity,,unit,,50 servings,75 servings,,servings,
1),,Olive Oil,,,,,,,1.75,,c,,0.7954545454545454,1.1931818181818181,,1.7499999999999998,
2),,AP Flour,,,,,,,2.5,,c,,1.1363636363636365,1.7045454545454546,,2.5,
3),,Beef Chuck or Ball Tip,,,,,,,28,,lbs,,12.727272727272727,19.09090909090909,,27.999999999999996,
4),,"Carrots -cut into 1"" chunks",,,,,,,14,,lbs,,6.363636363636363,9.545454545454545,,13.999999999999998,
5),,Potatoes - cut into large chunks,,,,,,,83,,ct,,37.72727272727273,56.590909090909086,,83,
6),,Onion -large chop,,,,,,,14,,ct,,6.363636363636363,9.545454545454545,,13.999999999999998,
7),,Garlic Clove -Minced,,,,,,,27,,ct,,12.272727272727273,18.40909090909091,,27,
8),,Beef Brooth,,,,,,,27,,c,,12.272727272727273,18.40909090909091,,27,
9),,Tomato Paste,,,,,,,84,,oz,,38.18181818181819,57.27272727272727,,84,
10),,Guiness or Irish Stout Beer,,,,,,,12,,bottle,,5.454545454545454,8.181818181818182,,12,
11),,Cold Water,,,,,,,0.75,,c,,0.3409090909090909,0.5113636363636364,,0.75,
12),,CornStarch,,,,,,,0.75,,c,,0.3409090909090909,0.5113636363636364,,0.75,
13),,,,,,,,,,,,, , ,, ,
14),,,,,,,,,,,,, , ,, ,
15),,,,,,,,,,,,, , ,, ,
16),,,,,,,,,,,,, , ,, ,
17),,,,,,,,,,,,, , ,, ,
18),,,,,,,,,,,,, , ,, ,
19),,,,,,,,,,,,, , ,, ,
20),,,,,,,,,,,,, , ,, ,
,,,,,,,,,,,,,,,,,
"As it appears above, recipe yields how many servings?",,,,,,,,,110,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
cooking instructions:,,,,,,,,,,,,,,,,,
"1. Heat the oil in a large skillet over medium heat. Toss beef cubes with flour to coat, then fry in the hot oil until browned. Place the carrots, potatoes, onion and garlic in a large slow cooker. Place the meat on top of the vegetables. Mix together the beef broth and tomato paste and pour into the slow cooker along with the beer. 
2. Cover and cook on High for 6 hours or Low for 8 hours. During the last hour before serving, dissolve the cornstarch in cold water and then stir into the broth. Simmer on the High setting for a few minutes to thicken.

",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
comments:,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, 
