Unnamed: 0,Unnamed: 1,Unnamed: 2,target name:,Unnamed: 4,Unnamed: 5,Jambalaya - hometown,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,,,english name:,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
intro:,,,,,,,,,,,,,,,,vil / recipe code,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,quantity,
source:,,,,,,,,,,,,,,,,calculator,
region:,,,,,,,,,,,,,,,,70,
,,,,,,,,,,,,,,,,,
ingredients:,,,,,,,,,quantity,,unit,,50 servings,75 servings,,servings,
1),,Chicken thighs (boneless??),,,,,,,1.5,,#,,5,7.5,,7,
2),,Creole seasoning,,,,,,,1.5,,t,,5,7.5,,7,
3),,andoullie sausage -sliced,,,,,,,1.5,,#,,5,7.5,,7,
4),,onion -finely chopped,,,,,,,2,,ct,,6.666666666666667,10,,9.333333333333334,
5),,celery -finely chopped,,,,,,,4,,ct,,13.333333333333334,20,,18.666666666666668,
6),,green bell pepper -seeded/finely chopped,,,,,,,1,,ct,,3.3333333333333335,5,,4.666666666666667,
7),,scallions -seperated  -both chopped,,,,,,,1,,bunch,,3.3333333333333335,5,,4.666666666666667,
8),,garlic cloves  -minced,,,,,,,6,,ct,,20,30,,28,
9),,tomato paste,,,,,,,0.25,,c ,,0.8333333333333334,1.25,,1.1666666666666667,
10),,green chilies -canned -drained,,,,,,,4,,oz,,13.333333333333334,20,,18.666666666666668,
11),,dried thyme,,,,,,,1,,t,,3.3333333333333335,5,,4.666666666666667,
12),,bay leaves,,,,,,,2,,ct,,6.666666666666667,10,,9.333333333333334,
13),,salt    -taste,,,,,,,,,,,0,0,,0,
14),,Black pepper   -taste,,,,,,,,,,,0,0,,0,
15),,hot sauce,,,,,,,0.5,,t,,1.6666666666666667,2.5,,2.3333333333333335,
16),,chicken stock,,,,,,,5,,c,,16.666666666666664,25,,23.333333333333332,
17),,tomatoes  -chopped,,,,,,,1.5,,c,,5,7.5,,7,
18),,long grain rice,,,,,,,4,,c,,13.333333333333334,20,,18.666666666666668,
19),,Shrimp ,,,,,,,1,,#,,3.3333333333333335,5,,4.666666666666667,
20),,Parsley,,,,,,,0.5,,c,,1.6666666666666667,2.5,,2.3333333333333335,
,,,,,,,,,,,,,,,,,
"As it appears above, recipe yields how many servings?",,,,,,,,,15,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
cooking instructions:,,,,,,,,,,,,,,,,,
"heat the oil over high heat. Season the chicken with the Creole Seasoning on all sides. Add the chicken pieces to the hot pan, in batches if necessary, and sauté until browned on all sides, 6 to 8 minutes. Transfer chicken pieces to a large bowl and set aside. Add the sausage to the drippings in the pan, reduce the heat to medium high, and sauté, stirring frequently, until sausage is browned on all sides, 4 to 5 minutes. Remove the sausage with a slotted spoon and transfer to the bowl with the chicken. Add the onions, celery, bell pepper, chopped scallion bottoms, and garlic and sauté over medium heat until vegetables are tender, about 5 minutes. Return the chicken and sausage to the pan, along with the 1 1/2 teaspoons Creole Seasoning, tomato paste, canned chiles, thyme, bay leaf, salt, pepper, crushed red pepper, hot sauce, stock and tomatoes and bring to a simmer, stirring well to mix. Cover pan, reduce heat to low, and cook for 45 minutes, or until the chicken is very tender and the broth has absorbed the flavors of the sausage and seasonings.   Increase the heat to high and add the rice and chopped green onion tops. Stir well and bring to a boil. Immediately reduce the heat to low and simmer, covered, for about 20 minutes, until the rice is cooked and has absorbed all the liquid.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
comments:,,,,,,,,,,,,,,,,,
"Season the shrimp with Creole Seasoning. Remove from the heat, taste, and adjust seasoning if necessary. Remove the bay leaves and gently stir in the seasoned shrimp and parsley. Let stand for 15 minutes, covered, before serving.",,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, 
