Unnamed: 0,Unnamed: 1,Unnamed: 2,target name:,Unnamed: 4,Unnamed: 5,Lobster Rolls,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,,,english name:,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
intro:,,,,,,,,,,,,,,,,vil / recipe code,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,quantity,
source:,,,,,,,,,,,,,,,,calculator,
region:,,,,,,,,,,,,,,,,55,
,,,,,,,,,,,,,,,,,
ingredients:,,,,,,,,,quantity,,unit,,50 servings,75 servings,,servings,
1),,Lobster Meat - Chunked,,,,,,,1,,lbs,,12.5,18.75,,13.75,
2),,Mayonnaise,,,,,,,3,,Tbsp,,37.5,56.25,,41.25,
3),,Celery - diced,,,,,,,2,,Tbsp,,25,37.5,,27.5,
4),,Chives - chopped,,,,,,,1,,Tbsp,,12.5,18.75,,13.75,
5),,Tarragon - chopped,,,,,,,1,,tsp,,12.5,18.75,,13.75,
6),,Whole Grain Mustard,,,,,,,1,,tsp,,12.5,18.75,,13.75,
7),,Lemon Juice,,,,,,,1,,tsp,,12.5,18.75,,13.75,
8),,Cayenne,,,,,,,1,,pinch,,12.5,18.75,,13.75,
9),,Hot Dog Buns,,,,,,,4,,ct,,50,75,,55,
10),,Butter - melted,,,,,,,2,,Tbsp,,25,37.5,,27.5,
11),,Mayonnaise,,,,,,,2,,taste,,25,37.5,,27.5,
12),,Bibb Lettuce Leaves,,,,,,,4,,ct,,50,75,,55,
13),,,,,,,,,,,,, , ,, ,
14),,,,,,,,,,,,, , ,, ,
15),,,,,,,,,,,,, , ,, ,
16),,,,,,,,,,,,, , ,, ,
17),,,,,,,,,,,,, , ,, ,
18),,,,,,,,,,,,, , ,, ,
19),,,,,,,,,,,,, , ,, ,
20),,,,,,,,,,,,, , ,, ,
,,,,,,,,,,,,,,,,,
"As it appears above, recipe yields how many servings?",,,,,,,,,4,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
cooking instructions:,,,,,,,,,,,,,,,,,
"Combine the Lobster, Mayo, Celery, Chived, Tarragon, Mustard, Lemon Juice and Cayenne into a lobster salad.  Let the salad sit for at least 30 minutes.  Brush the outside of the buns with the melted butter.  Bake the buns in an oven at 400 degrees for about 5 minutes (until they are starting to get crisp).  Once the buns are baked, open them up and brush some mayonnaise on the inside.  Add a bibb lettuce leaf, then the salad.  Serve.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
comments:,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, 
