Unnamed: 0,Unnamed: 1,Unnamed: 2,target name:,Unnamed: 4,Unnamed: 5,17th de Mai Kringle,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,,,english name:,,,May 17th Coffee Cake,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
intro:,,,,,,,,,,,,,,,,vil / recipe code,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,quantity,
source:,,,,Resource Center,,,,,,,,,,,,calculator,
region:,,,,,,,,,,,,,,,,70,
,,,,,,,,,,,,,,,,,
ingredients:,,,,,,,,,quantity,,unit,,50 servings,75 servings,,servings,
1),,water,,,,,,,1,,c,,6.25,9.375,,8.75,
2),,butter,,,,,,,1.5,,c,,9.375,14.0625,,13.125,
3),,eggs,,,,,,,4,,ct,,25,37.5,,35,
4),,baking powder,,,,,,,2,,t,,12.5,18.75,,17.5,
5),,flour,,,,,,,1.5,,c,,9.375,14.0625,,13.125,
6),,,,,,,,,,,,, , ,, ,
7),,Fillings :,,,,,,,,,,,0,0,,0,
8),,raisins,,,,,,,1,,c,,6.25,9.375,,8.75,
9),,almonds (ground),,,,,,,0.5,,c,,3.125,4.6875,,4.375,
10),,sugar,,,,,,,0.5,,c,,3.125,4.6875,,4.375,
11),,,,,,,,,,,,, , ,, ,
12),,,,,,,,,,,,, , ,, ,
13),,,,,,,,,,,,, , ,, ,
14),,,,,,,,,,,,, , ,, ,
15),,,,,,,,,,,,, , ,, ,
16),,,,,,,,,,,,, , ,, ,
17),,,,,,,,,,,,, , ,, ,
18),,,,,,,,,,,,, , ,, ,
19),,,,,,,,,,,,, , ,, ,
20),,,,,,,,,,,,, , ,, ,
,,,,,,,,,,,,,,,,,
"As it appears above, recipe yields how many servings?",,,,,,,,,8,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
cooking instructions:,,,,,,,,,,,,,,,,,
"Boil water and butter one minute.  Slowly stir in flour.  Boil another minute.  Cool.  Add eggs, one at a time.  Roll thin on flowered board and form figure eights.  Arrange figures on batter sheet and fill with filling mix.  Bake in oven at 300 for 20 to 30 minutes.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
comments:,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, 
