Unnamed: 0,Unnamed: 1,Unnamed: 2,target name:,Unnamed: 4,Unnamed: 5,Mushroom Avocado Salad,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,,,english name:,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
intro:,,,,,,,,,,,,,,,,vil / recipe code,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,quantity,
source:,,,,,,,,,,,,,,,,calculator,
region:,,,,,,,,,,,,,,,,70,
,,,,,,,,,,,,,,,,,
ingredients:,,,,,,,,,quantity,,unit,,50 servings,75 servings,,servings,
1),,Olive oil,,,,,,,0.33,,c,,2.75,4.125,,3.85,
2),,Lime juice,,,,,,,2,,T,,16.666666666666664,25,,23.333333333333332,
3),,Lime zest,,,,,,,0.5,,t,,4.166666666666666,6.25,,5.833333333333333,
4),,Garlic clove -crushed,,,,,,,1,,ct,,8.333333333333332,12.5,,11.666666666666666,
5),,Small Red Chili -seeded and minced,,,,,,,1,,ct,,8.333333333333332,12.5,,11.666666666666666,
6),,Sugar,,,,,,,0.5,,t,,4.166666666666666,6.25,,5.833333333333333,
7),,Mushrooms -quartered,,,,,,,0.75,,#,,6.25,9.375,,8.75,
8),,Sundried Tomatoes,,,,,,,0.5,,#,,4.166666666666666,6.25,,5.833333333333333,
9),,Red onion,,,,,,,0.5,,ct,,4.166666666666666,6.25,,5.833333333333333,
10),,Avocado -peeled/sliced,,,,,,,1,,ct,,8.333333333333332,12.5,,11.666666666666666,
11),,Spring mix,,,,,,,3,,oz,,25,37.5,,35,
12),,,,,,,,,,,,, , ,, ,
13),,,,,,,,,,,,, , ,, ,
14),,,,,,,,,,,,, , ,, ,
15),,,,,,,,,,,,, , ,, ,
16),,,,,,,,,,,,, , ,, ,
17),,,,,,,,,,,,, , ,, ,
18),,,,,,,,,,,,, , ,, ,
19),,,,,,,,,,,,, , ,, ,
20),,,,,,,,,,,,, , ,, ,
,,,,,,,,,,,,,,,,,
"As it appears above, recipe yields how many servings?",,,,,,,,,6,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
cooking instructions:,,,,,,,,,,,,,,,,,
"Whisk olive oil, lime juice, lime zest, 1 garlic clove, small red chilli, sugar. Pour mixture over mush, toss, cover, and refrigerate for 1-2hrs.                                                                                                       
Combine tomatoes, onion,avocado, and spring mix, add mushrooms. Toss prior to serving.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
comments:,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, 
