Unnamed: 0,Unnamed: 1,Unnamed: 2,target name:,Unnamed: 4,Unnamed: 5,Mustard-dill Sauce,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,,,english name:,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
intro:,,,,,,,,,,,,,,,,vil / recipe code,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,quantity,
source:,,,,,,,,,,,,,,,,calculator,
region:,,,,,,,,,,,,,,,,70,
,,,,,,,,,,,,,,,,,
ingredients:,,,,,,,,,quantity,,unit,,50 servings,75 servings,,servings,
1),,Mustard Powder,,,,,,,1,,T,,4.166666666666666,6.25,,5.833333333333333,
2),,Lemon juice,,,,,,,1,,T,,4.166666666666666,6.25,,5.833333333333333,
3),,Mayo,,,,,,,0.75,,c,,3.125,4.6875,,4.375,
4),,sour cream,,,,,,,0.33,,c,,1.375,2.0625,,1.925,
5),,Whole grain mustard,,,,,,,0.25,,c,,1.0416666666666665,1.5625,,1.4583333333333333,
6),,Fresh dill -chopped,,,,,,,2,,T,,8.333333333333332,12.5,,11.666666666666666,
7),,Sugar,,,,,,,1,,t,,4.166666666666666,6.25,,5.833333333333333,
8),,Kosher salt -to taste,,,,,,,,,,,0,0,,0,
9),,Pepper -to taste,,,,,,,,,,,0,0,,0,
10),,,,,,,,,,,,, , ,, ,
11),,,,,,,,,,,,, , ,, ,
12),,,,,,,,,,,,, , ,, ,
13),,,,,,,,,,,,, , ,, ,
14),,,,,,,,,,,,, , ,, ,
15),,,,,,,,,,,,, , ,, ,
16),,,,,,,,,,,,, , ,, ,
17),,,,,,,,,,,,, , ,, ,
18),,,,,,,,,,,,, , ,, ,
19),,,,,,,,,,,,, , ,, ,
20),,,,,,,,,,,,, , ,, ,
,,,,,,,,,,,,,,,,,
"As it appears above, recipe yields how many servings?",,,,,,,,,12,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
cooking instructions:,,,,,,,,,,,,,,,,,
"Place the dry mustard and lemon juice in a nonreactive mixing bowl and stir with a fork to form a smooth paste. Let sit for 3 minutes.  Add the mayonnaise, sour cream, grainy mustard, dill, and sugar to the mustard mixture and whisk. Taste for seasoning, adding salt, pepper, and more lemon juice if necessary.      The sauce can be refrigerated, covered, for up to a day. Let it return to room temperature before serving. ",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
comments:,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, 
