Unnamed: 0,Unnamed: 1,Unnamed: 2,target name:,Unnamed: 4,Unnamed: 5,chicken (nigerian recipe),Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,,,english name:,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
intro:,,,,,,,,,,,,,,,,vil / recipe code,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,quantity,
source:,,,,,,,,,,,,,,,,calculator,
region:,,,,,,,,,,,,,,,,70,
,,,,,,,,,,,,,,,,,
ingredients:,,,,,,,,,quantity,,unit,,50 servings,75 servings,,servings,
1),,Chicken thigh ,,,,,,,2,,#,,16.666666666666664,25,,23.333333333333332,
2),,Veg Oil,,,,,,,0.25,,c,,2.083333333333333,3.125,,2.9166666666666665,
3),,Chicken stock,,,,,,,5,,c,,41.66666666666667,62.5,,58.333333333333336,
4),,onions  -chopped,,,,,,,2,,ct,,16.666666666666664,25,,23.333333333333332,
5),,Red bell pepper  -chopped,,,,,,,1,,ct,,8.333333333333332,12.5,,11.666666666666666,
6),,Garlic  -minced,,,,,,,4,,ct,,33.33333333333333,50,,46.666666666666664,
7),,Rice,,,,,,,3,,c,,25,37.5,,35,
8),,Tomato Paste,,,,,,,0.25,,c,,2.083333333333333,3.125,,2.9166666666666665,
9),,Tomatoes  -chopped,,,,,,,2,,c,,16.666666666666664,25,,23.333333333333332,
10),,Carrots  -chopped,,,,,,,2,,ct,,16.666666666666664,25,,23.333333333333332,
11),,Green beans,,,,,,,1,,c,,8.333333333333332,12.5,,11.666666666666666,
12),,Cabbage  -chopped,,,,,,,1,,c,,8.333333333333332,12.5,,11.666666666666666,
13),,Salt ,,,,,,,taste,,,,,,,,
14),,Pepper,,,,,,,taste,,,,,,,,
15),,,,,,,,,,,,, , ,, ,
16),,,,,,,,,,,,, , ,, ,
17),,,,,,,,,,,,, , ,, ,
18),,,,,,,,,,,,, , ,, ,
19),,,,,,,,,,,,, , ,, ,
20),,,,,,,,,,,,, , ,, ,
,,,,,,,,,,,,,,,,,
"As it appears above, recipe yields how many servings?",,,,,,,,,6,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
cooking instructions:,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
comments:,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, 
