Unnamed: 0,Unnamed: 1,Unnamed: 2,target name:,Unnamed: 4,Unnamed: 5,Pear/Gruyere French Toast,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,,,english name:,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
intro:,,,,,,,,,,,,,,,,vil / recipe code,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,quantity,
source:,,,,,,,,,,,,,,,,calculator,
region:,,,,,,,,,,,,,,,,70,
,,,,,,,,,,,,,,,,,
ingredients:,,,,,,,,,quantity,,unit,,50 servings,75 servings,,servings,
1),,French/Italian bread -cubed,,,,,,,7,,c,,58.333333333333336,87.5,,81.66666666666667,
2),,eggs,,,,,,,6,,ct,,50,75,,70,
3),,milk,,,,,,,2.5,,c,,20.833333333333336,31.25,,29.166666666666668,
4),,vanilla,,,,,,,1,,t,,8.333333333333332,12.5,,11.666666666666666,
5),,sugar,,,,,,,2,,T,,16.666666666666664,25,,23.333333333333332,
6),,kosher salt,,,,,,,1,,t,,8.333333333333332,12.5,,11.666666666666666,
7),,cinnamon,,,,,,,1,,t,,8.333333333333332,12.5,,11.666666666666666,
8),,pears,,,,,,,2,,ct,,16.666666666666664,25,,23.333333333333332,
9),,Gruyere -shredded,,,,,,,1,,c,,8.333333333333332,12.5,,11.666666666666666,
10),,butter,,,,,,,2,,T,,16.666666666666664,25,,23.333333333333332,
11),,,,,,,,,,,,, , ,, ,
12),,,,,,,,,,,,, , ,, ,
13),,,,,,,,,,,,, , ,, ,
14),,,,,,,,,,,,, , ,, ,
15),,,,,,,,,,,,, , ,, ,
16),,,,,,,,,,,,, , ,, ,
17),,,,,,,,,,,,, , ,, ,
18),,,,,,,,,,,,, , ,, ,
19),,,,,,,,,,,,, , ,, ,
20),,,,,,,,,,,,, , ,, ,
,,,,,,,,,,,,,,,,,
"As it appears above, recipe yields how many servings?",,,,,,,,,6,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
cooking instructions:,,,,,,,,,,,,,,,,,
"Combine bread and pears.   Whisk eggs, milk, sugar, cinnamon, vanilla, and 3/4 of the cheese.   Pour over bread, cover and refrigerate overnight.  Pull 30-45 before baking. Bake covered @ 350 for 50-60 mins. Remove cover, sprinkle with remaining cheese, put back in oven till cheese melts.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
comments:,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, 
