Unnamed: 0,Unnamed: 1,Unnamed: 2,target name:,Unnamed: 4,Unnamed: 5,Pineapple Bars,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,,,english name:,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
intro:,,,,,,,,,,,,,,,,vil / recipe code,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,quantity,
source:,,,,allrecipes.com,,,,,,,,,,,,calculator,
region:,,,,,,,,,,,,,,,,120,
,,,,,,,,,,,,,,,,,
ingredients:,,,,,,,,,quantity,,unit,,50 servings,75 servings,,servings,
1),,Butter,,,,,,,15,,T,,6.25,9.375,,15,
2),,Sugar,,,,,,,22,,T,,9.166666666666666,13.749999999999998,,22,
3),,eggs,,,,,,,7,,ct,,2.9166666666666665,4.375,,7,
4),,AP Flour,,,,,,,7.5,,c ,,3.125,4.6875,,7.5,
5),,Baking Powder,,,,,,,7.5,,t,,3.125,4.6875,,7.5,
6),,pineapple,,,,,,,7,,lbs,,2.9166666666666665,4.375,,7,
7),,,,,,,,,,,,, , ,, ,
8),,Topping,,,,,,,,,,,0,0,,0,
9),,Butter,,,,,,,8,,T,,3.3333333333333335,5,,8,
10),,Sugar,,,,,,,7.5,,c,,3.125,4.6875,,7.5,
11),,Egg,,,,,,,15,,ct,,6.25,9.375,,15,
12),,Coconut Flake,,,,,,,15,,c,,6.25,9.375,,15,
13),,,,,,,,,,,,, , ,, ,
14),,,,,,,,,,,,, , ,, ,
15),,,,,,,,,,,,, , ,, ,
16),,,,,,,,,,,,, , ,, ,
17),,,,,,,,,,,,, , ,, ,
18),,,,,,,,,,,,, , ,, ,
19),,,,,,,,,,,,, , ,, ,
20),,,,,,,,,,,,, , ,, ,
,,,,,,,,,,,,,,,,,
"As it appears above, recipe yields how many servings?",,,,,,,,,120,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
cooking instructions:,,,,,,,,,,,,,,,,,
"1. In a mixing bowl, beat butter and sugar. Beat in egg. Combine flour and baking powder; stir into egg mixture. Press into baking dish coated with nonstick cooking spray. Spread pineapple over crust; set aside. 
2. For topping, in a mixing bowl, beat butter and sugar. Beat in eggs. Stir in coconut. Spread over pineapple. Bake at 325 degrees F for 35-40 minutes or until golden brown. Cool before cutting.
",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
comments:,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, 
