Unnamed: 0,Unnamed: 1,Unnamed: 2,target name:,Unnamed: 4,Unnamed: 5,Piri Piri Shrimp,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,,,english name:,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
intro:,,,,,,,,,,,,,,,,vil / recipe code,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,quantity,
source:,,,,,,,,,,,,,,,,calculator,
region:,,,,,,,,,,,,,,,,70,
,,,,,,,,,,,,,,,,,
ingredients:,,,,,,,,,quantity,,unit,,50 servings,75 servings,,servings,
1),,Medium Shrimp,,,,,,,30,,ct,,150,225,,210,
2),,Dried habanero -seeded and chopped,,,,,,,2,,ct,,10,15,,14,
3),,Lemon juice,,,,,,,2,,T,,10,15,,14,
4),,crushed ginger,,,,,,,2,,t,,10,15,,14,
5),,Veg oil,,,,,,,5,,T,,25,37.5,,35,
6),,paprika,,,,,,,2,,t,,10,15,,14,
7),,Garlic -crushed,,,,,,,4,,ct,,20,30,,28,
8),,Sugar,,,,,,,0.5,,t,,2.5,3.75,,3.5,
9),,Kosher salt,,,,,,,0.5,,t,,2.5,3.75,,3.5,
10),,,,,,,,,,,,, , ,, ,
11),,,,,,,,,,,,, , ,, ,
12),,,,,,,,,,,,, , ,, ,
13),,,,,,,,,,,,, , ,, ,
14),,,,,,,,,,,,, , ,, ,
15),,,,,,,,,,,,, , ,, ,
16),,,,,,,,,,,,, , ,, ,
17),,,,,,,,,,,,, , ,, ,
18),,,,,,,,,,,,, , ,, ,
19),,,,,,,,,,,,, , ,, ,
20),,,,,,,,,,,,, , ,, ,
,,,,,,,,,,,,,,,,,
"As it appears above, recipe yields how many servings?",,,,,,,,,10,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
cooking instructions:,,,,,,,,,,,,,,,,,
"In a metal mixing bowl combine the chopped habanero chilies, lemon juice, crushed ginger, vegetable oil, paprika, garlic, sugar, salt and chili flakes. Stir quickly to bind the oil and lemon juice. Set aside.
Peel and de-vein the shrimp. Place shrimp in the piri piri sauce and coat well. Marinate for 5 minutes but no longer as the shrimp will cook in the lemon juice.
Heat up the barbecue or a fry-pan over a medium heat and fry the shrimp for about 30 seconds on each side. Serve immediately.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
comments:,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, 
