Unnamed: 0,Unnamed: 1,Unnamed: 2,target name:,Unnamed: 4,Unnamed: 5,Pulled Pork,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,,,english name:,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
intro:,,,,,,,,,,,,,,,,vil / recipe code,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,quantity,
source:,,,,,,,,,,,,,,,,calculator,
region:,,,,,,,,,,,,,,,,70,
,,,,,,,,,,,,,,,,,
ingredients:,,,,,,,,,quantity,,unit,,50 servings,75 servings,,servings,
1),,Brown sugar,,,,,,,0.25,,c,,1.5625,2.34375,,2.1875,
2),,cayenne pepper,,,,,,,0.5,,t,,3.125,4.6875,,4.375,
3),,Salt,,,,,,,1,,T,,6.25,9.375,,8.75,
4),,Blk Pepper,,,,,,,1,,t,,6.25,9.375,,8.75,
5),,Pork shoulder,,,,,,,3,,#,,18.75,28.125,,26.25,
6),,Cider Vinegar,,,,,,,1.5,,c,,9.375,14.0625,,13.125,
7),,garlic cloves -minced,,,,,,,4,,ct,,25,37.5,,35,
8),,water,,,,,,,0.5,,c,,3.125,4.6875,,4.375,
9),,,,,,,,,,,,, , ,, ,
10),,,,,,,,,,,,, , ,, ,
11),,,,,,,,,,,,, , ,, ,
12),,,,,,,,,,,,, , ,, ,
13),,,,,,,,,,,,, , ,, ,
14),,,,,,,,,,,,, , ,, ,
15),,,,,,,,,,,,, , ,, ,
16),,,,,,,,,,,,, , ,, ,
17),,,,,,,,,,,,, , ,, ,
18),,,,,,,,,,,,, , ,, ,
19),,,,,,,,,,,,, , ,, ,
20),,,,,,,,,,,,, , ,, ,
,,,,,,,,,,,,,,,,,
"As it appears above, recipe yields how many servings?",,,,,,,,,8,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
cooking instructions:,,,,,,,,,,,,,,,,,
"In a small bowl, combine sugar, cayenne, salt, and pepper. Rub pork with spice and place in pan.  combine vinegar, garlic, and water; pour over pork.  Cook for 2-2.5 hrs @ 350, or until pork easily seperates. Reserve juices.  Shred pork into pan/bowl, use reserved juices to remoisten pork as needed.  ",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
comments:,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, 
