Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Rhubarb Custard Pie,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
intro:,,,,,,,,,,,,,,,,vil / recipe code,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,quantity,
source:,,,,Finnish,,,,,,,,,,,,calculator,
,,,,,,,,,,,,,,,,3,
,,,,,,,,,,,,,,,,,
ingredients:,,,,,,,,,quantity,,unit,,4 units,12 units,,units,
Custard:,,,,,,,,,,,,,0,0,,0,
sour cream,,,,,,,,,2.63,,#,,3.5066666666666664,10.52,,2.63,
eggs,,,,,,,,,6,,ct,,8,24,,6,
sugar,,,,,,,,,0.6,,#,,0.7999999999999999,2.4,,0.6,
grated lemon zest from---------------------------------,,,,,,,,,1.5,,lmn,,2,6,,1.5,
vanilla,,,,,,,,,0.5,,t,,0.6666666666666666,2,,0.5,
,,,,,,,,,,,,, , ,, ,
"rhubarb, chopped; thawed & drained if frozen",,,,,,,,,2.25,,#,,3,9,,2.25,
unbaked pie shells,,,,,,,,,3,,ct,,4,12,,3,
,,,,,,,,,,,,, , ,, ,
,,,,,,,,,,,,, , ,, ,
,,,,,,,,,,,,, , ,, ,
,,,,,,,,,,,,, , ,, ,
,,,,,,,,,,,,, , ,, ,
,,,,,,,,,,,,, , ,, ,
,,,,,,,,,,,,, , ,, ,
,,,,,,,,,,,,, , ,, ,
,,,,,,,,,,,,, , ,, ,
,,,,,,,,,,,,, , ,, ,
,,,,,,,,,,,,, , ,, ,
,,,,,,,,,,,,,,,,,
"As it appears above, recipe yields how many units?",,,,,,,,,3,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
cooking instructions:,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"In mixer bowl, with the whisk attachment, whisk together the sour cream, eggs, sugar, lemon zest and vanilla until smooth.  Dis-",,,,,,,,,,,,,,,,,
tribute the rhubarb (which has been squeezed out of excess moisture if frozen then thawed) evenly in pie shells.  Bake in a pre-,,,,,,,,,,,,,,,,,
"heated 325° convection oven for about 45 minutes, until custard is set and shells are golden brown.  Rotate after 25 minutes.",,,,,,,,,,,,,,,,,
"Reduce heat to 300° if they are getting too dark on top.  Remove from oven, cool, then refrigerate.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,continued on additional instructions page…,,,,,,
,,,,,,,,,,,,,,,,,
comments:,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,continued on additional comments page…,,,,,,
