Unnamed: 0,Unnamed: 1,Unnamed: 2,target name:,Unnamed: 4,Unnamed: 5,Sausage gravy,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,,,english name:,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
intro:,,,,,,,,,,,,,,,,vil / recipe code,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,quantity,
source:,,,,,,,,,,,,,,,,calculator,
region:,,,,,,,,,,,,,,,,100,
,,,,,,,,,,,,,,,,,
ingredients:,,,,,,,,,quantity,,unit,,50 servings,75 servings,,servings,
1),,Ground Pork,,,,,,,2,,lbs,,10,15,,20,
2),,Dry sage,,,,,,,2,,t,,10,15,,20,
3),,salt,,,,,,,2,,t,,10,15,,20,
4),,black pepper,,,,,,,1,,t,,5,7.5,,10,
5),,Marjoram,,,,,,,0.25,,t,,1.25,1.875,,2.5,
6),,Brown Sugar,,,,,,,1,,T,,5,7.5,,10,
7),,Red pepper flake,,,,,,,0.125,,t,,0.625,0.9375,,1.25,
8),,ground clove,,,,,,,1,,pinch,,5,7.5,,10,
9),,,,,,,,,,,,, , ,, ,
10),,gravy:,,,,,,,,,,,0,0,,0,
11),,Flour,,,,,,,0.5,,c,,2.5,3.75,,5,
12),,Milk,,,,,,,5,,c,,25,37.5,,50,
13),,salt and pepper to taste,,,,,,,,,,,0,0,,0,
14),,,,,,,,,,,,, , ,, ,
15),,,,,,,,,,,,, , ,, ,
16),,,,,,,,,,,,, , ,, ,
17),,,,,,,,,,,,, , ,, ,
18),,,,,,,,,,,,, , ,, ,
19),,,,,,,,,,,,, , ,, ,
20),,,,,,,,,,,,, , ,, ,
,,,,,,,,,,,,,,,,,
"As it appears above, recipe yields how many servings?",,,,,,,,,10,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
cooking instructions:,,,,,,,,,,,,,,,,,
"Make Sausage:   mix spices then combine with ground pork.                                                                      Making the Sausage gravy: Crumble sausage into skillet until browned, add flour, stir till it dissolves. Add milk and cook till thick and bubbly. Season with Salt and pepper.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
comments:,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, 
