Unnamed: 0,Unnamed: 1,Unnamed: 2,target name:,Unnamed: 4,Unnamed: 5,Sausage Rolls,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,,,english name:,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
intro:,,,,,,,,,,,,,,,,vil / recipe code,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,quantity,
source:,,,,,,,,,,,,,,,,calculator,
region:,,,,,,,,,,,,,,,,70,
,,,,,,,,,,,,,,,,,
ingredients:,,,,,,,,,quantity,,unit,,50 servings,75 servings,,servings,
1),,Pork sausage (bulk),,,,,,,1.25,,#,,5.208333333333334,7.8125,,7.291666666666667,
2),,onion -finely chopped,,,,,,,1,,ct,,4.166666666666666,6.25,,5.833333333333333,
3),,Chives -minced,,,,,,,2,,ct,,8.333333333333332,12.5,,11.666666666666666,
4),,Basil,,,,,,,0.5,,t,,2.083333333333333,3.125,,2.9166666666666665,
5),,Garlic cloves -minced,,,,,,,2,,ct,,8.333333333333332,12.5,,11.666666666666666,
6),,paprika,,,,,,,1,,t,,4.166666666666666,6.25,,5.833333333333333,
7),,salt ,,,,,,,0.5,,t,,2.083333333333333,3.125,,2.9166666666666665,
8),,pepper,,,,,,,0.25,,t,,1.0416666666666665,1.5625,,1.4583333333333333,
9),,Puff pastry,,,,,,,17.3,,oz,,72.08333333333333,108.125,,100.91666666666667,
10),,,,,,,,,,,,, , ,, ,
11),,,,,,,,,,,,, , ,, ,
12),,,,,,,,,,,,, , ,, ,
13),,,,,,,,,,,,, , ,, ,
14),,,,,,,,,,,,, , ,, ,
15),,,,,,,,,,,,, , ,, ,
16),,,,,,,,,,,,, , ,, ,
17),,,,,,,,,,,,, , ,, ,
18),,,,,,,,,,,,, , ,, ,
19),,,,,,,,,,,,, , ,, ,
20),,,,,,,,,,,,, , ,, ,
,,,,,,,,,,,,,,,,,
"As it appears above, recipe yields how many servings?",,,,,,,,,12,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
cooking instructions:,,,,,,,,,,,,,,,,,
"In a large bowl, combine the sausage, onion, chives, basil, garlic, 3/4 of the paprika, salt and pepper. Unfold pastry onto a lightly floured surface. Roll each pastry sheet into an 11-in. x 10-1/2-in. rectangle. Cut widthwise into 3-1/2-in. strips.
Spread 1/2 cup of sausage mixture down the center of each strip. Fold pastry over and press edges together to seal. Cut each roll into six pieces.
Place seam side down on a rack in a shallow baking pan. Sprinkle with remaining paprika. Bake at 350° for 20-25 minutes or until golden brown. ",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
comments:,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, 
