Unnamed: 0,Unnamed: 1,Unnamed: 2,target name:,Unnamed: 4,Unnamed: 5,Sheppard's Pie,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,,,english name:,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
intro:,,,,,,,,,,,,,,,,vil / recipe code,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,quantity,
source:,,,,,,,,,,,,,,,,calculator,
region:,,,,,,,,,,,,,,,,70,
,,,,,,,,,,,,,,,,,
ingredients:,,,,,,,,,quantity,,unit,,50 servings,75 servings,,servings,
1),,Ground beef,,,,,,,1,,#,,8.333333333333332,12.5,,11.666666666666666,
2),,onion -diced,,,,,,,1,,ct,,8.333333333333332,12.5,,11.666666666666666,
3),,carrots -diced,,,,,,,3,,ct,,25,37.5,,35,
4),,Ap flour,,,,,,,2,,T,,16.666666666666664,25,,23.333333333333332,
5),,ground cinnamon,,,,,,,0.5,,t,,4.166666666666666,6.25,,5.833333333333333,
6),,Italian seasoning,,,,,,,1,,T,,8.333333333333332,12.5,,11.666666666666666,
7),,Fresh parsley -chopped,,,,,,,2,,T,,16.666666666666664,25,,23.333333333333332,
8),,Beef broth,,,,,,,1,,C,,8.333333333333332,12.5,,11.666666666666666,
9),,tomato paste,,,,,,,1,,T,,8.333333333333332,12.5,,11.666666666666666,
10),,salt ,,,,,,,,,taste,,0,0,,0,
11),,pepper,,,,,,,,,taste,,0,0,,0,
12),,,,,,,,,,,,, , ,, ,
13),,Pototoes -peeled/diced,,,,,,,4,,ct,,33.33333333333333,50,,46.666666666666664,
14),,Butter -softened,,,,,,,0.25,,c ,,2.083333333333333,3.125,,2.9166666666666665,
15),,milk,,,,,,,1,,c ,,8.333333333333332,12.5,,11.666666666666666,
16),,salt/pepper to taste,,,,,,,,,taste,,0,0,,0,
17),,Cheddar cheese -shredded,,,,,,,0.25,,#,,2.083333333333333,3.125,,2.9166666666666665,
18),,,,,,,,,,,,, , ,, ,
19),,,,,,,,,,,,, , ,, ,
20),,,,,,,,,,,,, , ,, ,
,,,,,,,,,,,,,,,,,
"As it appears above, recipe yields how many servings?",,,,,,,,,6,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
cooking instructions:,,,,,,,,,,,,,,,,,
"saute beef 1 minute. Add onion and carrot, then continue to saute until meat is no longer pink and onion begins to brown, about 5 minutes. Mix in flour, cinnamon, mixed herbs, and parsley.                                 In a small bowl, combine beef broth and tomato paste. Mix together, then add to beef mixture. Add salt and pepper to taste. Lower heat and simmer mixture for 15 minutes, stirring occasionally, until almost all of liquid has been absorbed. Spoon mixture into abaking dish.                                                                        Make topping (""mash potatoes"") cook potatoes till tender.  and butter, then milk. whip till fluffy. salt and pepper to taste. Spread over meat mixture. Sprinkle with cheese.     Baked for 25 mins at 400 or till potatoes brown and cheese is bubbly.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
comments:,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, 
