Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Snickerdoodles,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
intro:,,,,,,,,,,,,,,,,vil / recipe code,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,quantity,
source:,,,,Brian Dutcher,,,,,,,,,,,,calculator,
,,,,,,,,,,,,,,,,70,
,,,,,,,,,,,,,,,,,
ingredients:,,,,,,,,,quantity,,unit,,36 servings,80 servings,,servings,
"unsalted butter, soft, or Crisco shortening",,,,,,,,,2,,#,,0.4864864864864865,1.0810810810810811,,0.945945945945946,
granulated sugar,,,,,,,,,2.66,,#,,0.6470270270270271,1.4378378378378378,,1.258108108108108,
eggs,,,,,,,,,8,,ct,,1.945945945945946,4.324324324324325,,3.783783783783784,
vanilla,,,,,,,,,4,,t,,0.972972972972973,2.1621621621621623,,1.891891891891892,
cream of tartar,,,,,,,,,8,,t,,1.945945945945946,4.324324324324325,,3.783783783783784,
baking soda,,,,,,,,,4,,t,,0.972972972972973,2.1621621621621623,,1.891891891891892,
AP flour,,,,,,,,,3.84,,#,,0.9340540540540541,2.075675675675676,,1.816216216216216,
cinnamon-sugar for rolling,,,,,,,,,,,,,0,0,,0,
,,,,,,,,,,,,, , ,, ,
,,,,,,,,,,,,, , ,, ,
,,,,,,,,,,,,, , ,, ,
,,,,,,,,,,,,, , ,, ,
,,,,,,,,,,,,, , ,, ,
,,,,,,,,,,,,, , ,, ,
,,,,,,,,,,,,, , ,, ,
,,,,,,,,,,,,, , ,, ,
,,,,,,,,,,,,, , ,, ,
,,,,,,,,,,,,, , ,, ,
,,,,,,,,,,,,, , ,, ,
,,,,,,,,,,,,, , ,, ,
,,,,,,,,,,,,,,,,,
"As it appears above, recipe yields how many servings?",,,,,,,,,148,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
cooking instructions:,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"In a mixer bowl, with the paddle attachment, cream the butter or shortening with the sugar.  Add the eggs and mix until incor-",,,,,,,,,,,,,,,,,
"porated.  Add vanilla, cream of tartar and baking soda and mix well.  Add flour and mix just until incorporated.  (Over mixing",,,,,,,,,,,,,,,,,
flour will toughen cookies!)  Scoop dough with #40 scoop and roll in cinnamon-sugar and place on parchment lined sheet pans.,,,,,,,,,,,,,,,,,
"Bake at 325° for about 10 minutes, rotating after 7 or 8 minutes, or just until lightly browned.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,continued on additional instructions page…,,,,,,
,,,,,,,,,,,,,,,,,
comments:,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,continued on additional comments page…,,,,,,
