Unnamed: 0,Unnamed: 1,Unnamed: 2,target name:,Unnamed: 4,Unnamed: 5,Rice Spam and Eggs,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,,,english name:,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
intro:,,,,,,,,,,,,,,,,vil / recipe code,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,quantity,
source:,,,,,,,,,,,,,,,,calculator,
region:,,,,,,,,,,,,,,,,100,
,,,,,,,,,,,,,,,,,
ingredients:,,,,,,,,,quantity,,unit,,50 servings,75 servings,,servings,
1),,Cooked Rice,,,,,,,1.5,,c,,18.75,28.125,,37.5,
2),,Soy Sauce,,,,,,,0.25,,c,,3.125,4.6875,,6.25,
3),,Sugar,,,,,,,1,,T,,12.5,18.75,,25,
4),,Rice Vinegar,,,,,,,2,,T,,25,37.5,,50,
5),,Spam -cubed,,,,,,,0.5,,can,,6.25,9.375,,12.5,
6),,Eggs,,,,,,,2,,T,,25,37.5,,50,
7),,Milk,,,,,,,2,,T,,25,37.5,,50,
8),,Salt and Pepper,,,,,,,Taste,,,,,,,,
9),,,,,,,,,,,,, , ,, ,
10),,,,,,,,,,,,, , ,, ,
11),,,,,,,,,,,,, , ,, ,
12),,,,,,,,,,,,, , ,, ,
13),,,,,,,,,,,,, , ,, ,
14),,,,,,,,,,,,, , ,, ,
15),,,,,,,,,,,,, , ,, ,
16),,,,,,,,,,,,, , ,, ,
17),,,,,,,,,,,,, , ,, ,
18),,,,,,,,,,,,, , ,, ,
19),,,,,,,,,,,,, , ,, ,
20),,,,,,,,,,,,, , ,, ,
,,,,,,,,,,,,,,,,,
"As it appears above, recipe yields how many servings?",,,,,,,,,4,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
cooking instructions:,,,,,,,,,,,,,,,,,
"Marinade Spam in Soy sauce, sugar and vinegar for 20mins  remove from marinade. whisk egss and milk together.  Brown spam in skillet, remove. Cook egg mixture, when almost firm add back spam. Serve over rice or mix rice in with spam and eggs.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
comments:,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, 
