Unnamed: 0,Unnamed: 1,Unnamed: 2,target name:,Unnamed: 4,Unnamed: 5,Split Pea Dhal,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,,,english name:,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
intro:,,,,,,,,,,,,,,,,vil / recipe code,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,quantity,
source:,,,,,,,,,,,,,,,,calculator,
region:,,,,,,,,,,,,,,,,110,
,,,,,,,,,,,,,,,,,
ingredients:,,,,,,,,,quantity,,unit,,50 servings,75 servings,,servings,
1),, Dried Split Peas,,,,,,,1,,c,,12.5,18.75,,27.5,
2),,Veggie Broth,,,,,,,2,,c,,25,37.5,,55,
3),,Tumeric,,,,,,,1,,t,,12.5,18.75,,27.5,
4),,Cayenne Pepper,,,,,,,0.25,,t,,3.125,4.6875,,6.875,
5),,Salt,,,,,,,0.5,,t,,6.25,9.375,,13.75,
6),,Butter,,,,,,,1,,T,,12.5,18.75,,27.5,
7),,Onion -Diced,,,,,,,1,,ct,,12.5,18.75,,27.5,
8),,Cumin,,,,,,,1.5,,t,,18.75,28.125,,41.25,
9),,Clove,,,,,,,0.5,,T,,6.25,9.375,,13.75,
10),,Pepper -to taste,,,,,,,,,,,0,0,,0,
11),,,,,,,,,,,,, , ,, ,
12),,,,,,,,,,,,, , ,, ,
13),,,,,,,,,,,,, , ,, ,
14),,,,,,,,,,,,, , ,, ,
15),,,,,,,,,,,,, , ,, ,
16),,,,,,,,,,,,, , ,, ,
17),,,,,,,,,,,,, , ,, ,
18),,,,,,,,,,,,, , ,, ,
19),,,,,,,,,,,,, , ,, ,
20),,,,,,,,,,,,, , ,, ,
,,,,,,,,,,,,,,,,,
"As it appears above, recipe yields how many servings?",,,,,,,,,4,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
cooking instructions:,,,,,,,,,,,,,,,,,
"Simmer peas in veggie broth, add tumeric cayenne and salt, cover and cook  20 mins,stirring occasionally.                  Fry Onion, cumin, clove in butter, when onions are soft add mixture to peas and cook till 5-10 mins or till peas are done.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
comments:,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, 
