Unnamed: 0,Unnamed: 1,Unnamed: 2,target name:,Unnamed: 4,Unnamed: 5,Stewed Beef and Dumplings,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,,,english name:,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
intro:,,,,,,,,,,,,,,,,vil / recipe code,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,quantity,
source:,,,,,,,,,,,,,,,,calculator,
region:,,,,,,,,,,,,,,,,110,
,,,,,,,,,,,,,,,,,
ingredients:,,,,,,,,,quantity,,unit,,50 servings,75 servings,,servings,
1),,Bay Leaves,,,,,,,6,,ct,,37.5,56.25,,82.5,
2),,Ball Tip Cubed,,,,,,,3,,lbs,,18.75,28.125,,41.25,
3),,Thyme,,,,,,,0.5,,T,,3.125,4.6875,,6.875,
4),,Coconut Milk,,,,,,,1,,c ,,6.25,9.375,,13.75,
5),,Oil,,,,,,,,,,,0,0,,0,
6),,Garlic Cloves -chopped,,,,,,,4,,ct,,25,37.5,,55,
7),,Onion,,,,,,,1,,ct,,6.25,9.375,,13.75,
8),,Chives,,,,,,,1,,T,,6.25,9.375,,13.75,
9),,Brown Sugar,,,,,,,1,,t,,6.25,9.375,,13.75,
10),,,,,,,,,,,,, , ,, ,
11),,Dumplings:,,,,,,,,,,,0,0,,0,
12),,Flour,,,,,,,2,,c,,12.5,18.75,,27.5,
13),,Butter,,,,,,,1,,T,,6.25,9.375,,13.75,
14),,Baking Powder,,,,,,,1,,t,,6.25,9.375,,13.75,
15),,Sugar,,,,,,,0.5,,t,,3.125,4.6875,,6.875,
16),,salt  -to taste,,,,,,,,,,,0,0,,0,
17),,,,,,,,,,,,, , ,, ,
18),,,,,,,,,,,,, , ,, ,
19),,,,,,,,,,,,, , ,, ,
20),,,,,,,,,,,,, , ,, ,
,,,,,,,,,,,,,,,,,
"As it appears above, recipe yields how many servings?",,,,,,,,,8,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
cooking instructions:,,,,,,,,,,,,,,,,,
"Heat oil with brown sugar to a syrup consistancy, Add beef and brown. Add Coconut Milk, Bay Leaves, Thyme, Garlic, and onion. Cook till tender.                                                                                                  For The Dumplings: Combine ingredients and add water till you have a stiff dough. Then boil in heavily salted water till done.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
comments:,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, 
