Unnamed: 0,Unnamed: 1,Unnamed: 2,target name:,Unnamed: 4,Unnamed: 5,Stuffed Peppers ,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,,,english name:,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
intro:,,,,,,,,,,,,,,,,vil / recipe code,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,quantity,
source:,,,,Please to the Table      Bremzen & Welchman      page 333,,,,,,,,,,,,calculator,
region:,,,,,,,,,,,,,,,,15,
,,,,,,,,,,,,,,,,,
ingredients:,,,,,,,,,quantity,,unit,,50 servings,75 servings,,servings,
1),,Ground Beef,,,,,,,2,,#,,4,6,,1.2,
2),,Ground Pork ,,,,,,,1,,#,,2,3,,0.6,
3),,Rice (or Barley or Buckwheat Grouts) ,,,,,,,3,,c,,6,9,,1.7999999999999998,
4),,"Diced Tomatoes, pureed",,,,,,,2,,c,,4,6,,1.2,
5),,Finely Minced Onion,,,,,,,1,,#,,2,3,,0.6,
6),,Shredded Mushrooms,,,,,,,1,,#,,2,3,,0.6,
7),,Shredded Carrots ,,,,,,,1,,#,,2,3,,0.6,
8),,Tomato Sauce,,,,,,,5,,c,,10,15,,3,
9),,Garlic,,,,,,,1,,Tbsp,,2,3,,0.6,
10),,Feta Cheese,,,,,,,2.5,,#,,5,7.5,,1.5,
11),,Butter or Oil ,,,,,,,1,,Tbsp,,2,3,,0.6,
12),,"Basil, Parsley, Dill, Salt & Pepper",,,,,,,,,,,0,0,,0,
13),,,,,,,,,,,,, , ,, ,
14),,Green Pepper    ,,,,,,,25,,,,50,75,,15,
15),,,,,,,,,,,,, , ,, ,
16),,Olive Oil to drizzle of top of Peppers ,,,,,,,,,,,0,0,,0,
17),,,,,,,,,,,,, , ,, ,
18),,"Cheddar Cheese,   as a melted garnish ",,,,,,,,,,,0,0,,0,
19),,,,,,,,,,,,, , ,, ,
20),,,,,,,,,,,,, , ,, ,
,,,,,,,,,,,,,,,,,
"As it appears above, recipe yields how many servings?",,,,,,,,,25,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
cooking instructions:,,,,,,,,,,,,,,,,,
"Suatee garlic veggies in oil or butter add tomato sauce and spices .  Cook rice separately and cool, add to veggies. Allow to cool awhile so the cheese doesn't melt when you add it next.   (take out for Vegetarians)  Brown beef and pork and drain off fat, add to rice/veggie/cheese mixture.  taste for seasoning.   Stuff Peppers with the filling.   Bake about an hour in preheated 325 oven for about 45 minutes to an hour.   VARIATION.... one could also add cheddar cheese on top of the peppers about 10 minutes at the end of baking them. ",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
comments:,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, 
