Unnamed: 0,Unnamed: 1,Unnamed: 2,target name:,Unnamed: 4,Unnamed: 5,Herb & Wild rice stuffing,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,,,english name:,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
intro:,,,,,,,,,,,,,,,,vil / recipe code,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,quantity,
source:,,,,,,,,,,,,,,,,calculator,
region:,,,,,,,,,,,,,,,,100,
,,,,,,,,,,,,,,,,,
ingredients:,,,,,,,,,quantity,,unit,,50 servings,75 servings,,servings,
1),,butter,,,,,,,0.5,,c,,2.5,3.75,,5,
2),,onion  -chopped,,,,,,,1,,ct,,5,7.5,,10,
3),,celery  -chopped,,,,,,,2,,ct,,10,15,,20,
4),,garlic clove -minced,,,,,,,6,,ct,,30,45,,60,
5),,salt,,,,,,,2,,t,,10,15,,20,
6),,thyme,,,,,,,1,,t,,5,7.5,,10,
7),,rosemary,,,,,,,1,,t,,5,7.5,,10,
8),,sage,,,,,,,1,,t,,5,7.5,,10,
9),,pepper,,,,,,,1,,t,,5,7.5,,10,
10),,dried parsley,,,,,,,1,,t,,5,7.5,,10,
11),,Wild rice,,,,,,,1,,c,,5,7.5,,10,
12),,Chicken stock,,,,,,,3,,c,,15,22.5,,30,
13),,bread cubes  dry/stale,,,,,,,8,,c,,40,60,,80,
14),,,,,,,,,,,,, , ,, ,
15),,,,,,,,,,,,, , ,, ,
16),,,,,,,,,,,,, , ,, ,
17),,,,,,,,,,,,, , ,, ,
18),,,,,,,,,,,,, , ,, ,
19),,,,,,,,,,,,, , ,, ,
20),,,,,,,,,,,,, , ,, ,
,,,,,,,,,,,,,,,,,
"As it appears above, recipe yields how many servings?",,,,,,,,,10,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
cooking instructions:,,,,,,,,,,,,,,,,,
"Cook wild rice till it pops                                                                                                                                                          Melt butter in large skillet and add all ingredients except the bread and stock. Cook over medium heat until onions are soft. Pour into a large mixing bowl. Add the bread rice and stock and mix well

Preheat oven to 350°F.  Transfer stuffing to buttered dish. Cover with buttered foil and bake until heated through, about 45 minutes. Uncover and Bake until top is golden brown, about 15 minutes.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
comments:,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, 
