Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Hawaiian Sweet Bread ,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
intro:,,,,,,,,,,,,,,,,vil / recipe code,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,quantity,
source:,,,,,,,,,,,,,,,,calculator,
,,,,,,,,,,,,,,,,10,
,,,,,,,,,,,,,,,,,
ingredients:,,,,,,,,,quantity,,unit,,4 units,12 units,,units,
Warm Water,,,,,,,,,0.5,,c,,2,6,,5,
Dry Active Yeast,,,,,,,,,4.5,,t,,18,54,,45,
Evaporated Milk,,,,,,,,,0.33,,c,,1.32,3.96,,3.3000000000000003,
Sugar,,,,,,,,,1.25,,c,,5,15,,12.5,
Flour,,,,,,,,,4,,c,,16,48,,40,
Nutmeg,,,,,,,,,0.125,,t,,0.5,1.5,,1.25,
Salt,,,,,,,,,1,,t,,4,12,,10,
Butter,,,,,,,,,4,,T,,16,48,,40,
Eggs,,,,,,,,,3,,ct,,12,36,,30,
Lemon Extract,,,,,,,,,0.5,,t,,2,6,,5,
Vanilla Extract,,,,,,,,,0.5,,t,,2,6,,5,
,,,,,,,,,,,,, , ,, ,
,,,,,,,,,,,,, , ,, ,
,,,,,,,,,,,,, , ,, ,
,,,,,,,,,,,,, , ,, ,
,,,,,,,,,,,,, , ,, ,
,,,,,,,,,,,,, , ,, ,
,,,,,,,,,,,,, , ,, ,
,,,,,,,,,,,,, , ,, ,
,,,,,,,,,,,,, , ,, ,
,,,,,,,,,,,,,,,,,
"As it appears above, recipe yields how many units?",,,,,,,,,1,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
cooking instructions:,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Mix 1/2 cup warm water(100-110 degrees), 2 packages of fleishmann’s dry active yeast and 2 tsp of sugar; let stand 10-15 minutes.",,,,,,,,,,,,,,,,,
"Combine 1 cups of the sugar, nutmeg and salt; mix.",,,,,,,,,,,,,,,,,
"Melt butter in a sauce pan, once melted combine 1/3 cup of evaporated milk with beaten eggs lemon and vanilla extract and nutmeg.",,,,,,,,,,,,,,,,,
"Mix well.  Add to flou, Knead dough",,,,,,,,,,,,,,,,,
"Let it rise for one hour, until double in size.  ",,,,,,,,,,,,,,,,,
 Gently punch down and form into loaf or individual rolls,,,,,,,,,,,,,,,,,
Let rise for another hour.,,,,,,,,,,,,,,,,,
"Bake at 300 for appx. 45 minutes, or until light golden crust forms and baked through. Every oven is a little bit different.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,continued on additional instructions page…,,,,,,
,,,,,,,,,,,,,,,,,
comments:,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
also make approx 12 rolls,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,continued on additional comments page…,,,,,,
