Unnamed: 0,Unnamed: 1,Unnamed: 2,target name:,Unnamed: 4,Unnamed: 5,Sweet & Sour Squash Soup,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,,,english name:,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
intro:,,,,,,,,,,,,,,,,vil / recipe code,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,quantity,
source:,,,,,,,,,,,,,,,,calculator,
region:,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ingredients:,,,,,,,,,quantity,,unit,,50 servings,75 servings,,servings,
1),,Squash - peeled and cubed,,,,,,,2,,lb,,16.666666666666664,25,,0,
2),,Jalepeno - seeded and minced,,,,,,,1,,ct,,8.333333333333332,12.5,,0,
3),,Red Potato - peeled and diced,,,,,,,0.5,,lb,,4.166666666666666,6.25,,0,
4),,Ginger - minced,,,,,,,2,,Tbsp,,16.666666666666664,25,,0,
5),,Onion - diced,,,,,,,0.5,,lb,,4.166666666666666,6.25,,0,
6),,Lemon Juice,,,,,,,0.5,,cup,,4.166666666666666,6.25,,0,
7),,Maple Syrup,,,,,,,2,,Tbsp,,16.666666666666664,25,,0,
8),,Cumin,,,,,,,2,,tsp,,16.666666666666664,25,,0,
9),,Coriander,,,,,,,1,,tsp,,8.333333333333332,12.5,,0,
10),,Apricot Preserves,,,,,,,0.25,,cup,,2.083333333333333,3.125,,0,
11),,Vegetable Stock,,,,,,,2,,cup,,16.666666666666664,25,,0,
12),,Garlic - minced,,,,,,,2,,Tbsp,,16.666666666666664,25,,0,
13),,,,,,,,,,,,, , ,, ,
14),,,,,,,,,,,,, , ,, ,
15),,,,,,,,,,,,, , ,, ,
16),,,,,,,,,,,,, , ,, ,
17),,,,,,,,,,,,, , ,, ,
18),,,,,,,,,,,,, , ,, ,
19),,,,,,,,,,,,, , ,, ,
20),,,,,,,,,,,,, , ,, ,
,,,,,,,,,,,,,,,,,
"As it appears above, recipe yields how many servings?",,,,,,,,,6,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
cooking instructions:,,,,,,,,,,,,,,,,,
Put all the ingredients in a pot.  Simmer until vegetables are soft.  Puree until smooth.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
comments:,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, 
