Unnamed: 0,Unnamed: 1,Unnamed: 2,target name:,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,,,english name:,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
intro:,,,,,,,,,,,,,,,,vil / recipe code,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,quantity,
source:,,,,,,,,,,,,,,,,calculator,
region:,,,,,,,,,,,,,,,,110,
,,,,,,,,,,,,,,,,,
ingredients:,,,,,,,,,quantity,,unit,,50 servings,75 servings,,servings,
1),,Shallots -chopped,,,,,,,1,,ct,,10,15,,22,
2),,Ginger root -grated,,,,,,,0.5,,T,,5,7.5,,11,
3),,Garlic -minced,,,,,,,2,,ct,,20,30,,44,
4),,Red Pepper Flake,,,,,,,0.5,,t,,5,7.5,,11,
5),,Ground Corriander,,,,,,,1,,t,,10,15,,22,
6),,Ground Cumin,,,,,,,2,,t,,20,30,,44,
7),,Ground Tumeric,,,,,,,0.75,,t,,7.5,11.25,,16.5,
8),,Ketchup,,,,,,,2,,T,,20,30,,44,
9),,Bay Leaves,,,,,,,2,,ct,,20,30,,44,
10),,Veggie Stock,,,,,,,0.5,,c,,5,7.5,,11,
11),,Carrot,,,,,,,1,,ct,,10,15,,22,
12),,Potato,,,,,,,1,,ct,,10,15,,22,
13),,Sweet Potato,,,,,,,1,,ct,,10,15,,22,
14),,Coconut Milk 14 ounce can,,,,,,,1,,can,,10,15,,22,
15),,Chick peas,,,,,,,1,,c,,10,15,,22,
16),,Soy Sauce,,,,,,,3,,T,,30,45,,66,
17),,Lime Juice,,,,,,,3,,T,,30,45,,66,
18),,Brown Sugar,,,,,,,2,,T,,20,30,,44,
19),,Cumin,,,,,,,0.5,,t,,5,7.5,,11,
20),,Basil,,,,,,,0.25,,c,,2.5,3.75,,5.5,
,,,,,,,,,,,,,,,,,
"As it appears above, recipe yields how many servings?",,,,,,,,,5,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
cooking instructions:,,,,,,,,,,,,,,,,,
"1. Heat a wok, large frying pan or pot over medium-high heat. Drizzle with  oil, then add the shallots, ginger, garlic, and chili. Stir-fry 1-2 minutes. While stir-frying, add the dry spices: coriander, ground cumin, turmeric, white pepper, and bay leaves.
2. Add stock plus the chickpeas, carrot, squash, potato, and sweet potato, stirring well. Add coconut milk and bring to a gentle boil.
3. Reduce heat to medium-low and simmer 10 to 12 minutes (for a thicker curry, do not cover). While simmering, add the soy sauce, lime juice, brown sugar, and ketchup. Finally, add the whole cumin. Continue simmering until vegetables are cooked to your liking.
4. Taste-test the curry, adding more soy sauce if you prefer it saltier/more flavorful. If too salty or sweet for your liking, add more lime juice. Add more sugar if you find it too sour. More chili can be added for more spice.
",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
comments:,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, 
