Unnamed: 0,Unnamed: 1,Unnamed: 2,target name:,Unnamed: 4,Unnamed: 5,Breaded Tilapia with macadamia,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,,,english name:,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
intro:,,,,,,,,,,,,,,,,vil / recipe code,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,quantity,
source:,,,,,,,,,,,,,,,,calculator,
region:,,,,,,,,,,,,,,,,70,
,,,,,,,,,,,,,,,,,
ingredients:,,,,,,,,,quantity,,unit,,50 servings,75 servings,,servings,
1),,Tilapia,,,,,,,4,,ct,,50,75,,70,
2),,salt,,,,,,,0.5,,t,,6.25,9.375,,8.75,
3),,pepper,,,,,,,0.5,,t,,6.25,9.375,,8.75,
4),,paprika,,,,,,,0.25,,t,,3.125,4.6875,,4.375,
5),,flour,,,,,,,0.5,,c,,6.25,9.375,,8.75,
6),,eggs,,,,,,,2,,ct,,25,37.5,,35,
7),,panko bread crumbs,,,,,,,1,,c ,,12.5,18.75,,17.5,
8),,Olive oil,,,,,,,0.25,,c,,3.125,4.6875,,4.375,
9),,Macadamia nut -finely ground,,,,,,,0.3333333333333333,,c,,4.166666666666666,6.25,,5.833333333333333,
10),,Sesame oil,,,,,,,1,,T,,12.5,18.75,,17.5,
11),,,,,,,,,,,,, , ,, ,
12),,,,,,,,,,,,, , ,, ,
13),,,,,,,,,,,,, , ,, ,
14),,,,,,,,,,,,, , ,, ,
15),,,,,,,,,,,,, , ,, ,
16),,,,,,,,,,,,, , ,, ,
17),,,,,,,,,,,,, , ,, ,
18),,,,,,,,,,,,, , ,, ,
19),,,,,,,,,,,,, , ,, ,
20),,,,,,,,,,,,, , ,, ,
,,,,,,,,,,,,,,,,,
"As it appears above, recipe yields how many servings?",,,,,,,,,4,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
cooking instructions:,,,,,,,,,,,,,,,,,
"Season both sides of the filets with the salt, pepper, and paprika. Lightly dust both sides of the filets with flour, then dip into the egg wash, then coat both sides with the panko/macadamia mixture.  Fry in sesame/olive oils. Until golden brown.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
comments:,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, 
