Unnamed: 0,Unnamed: 1,Unnamed: 2,target name:,Unnamed: 4,Unnamed: 5,Summer Vegetable Pasta Salad,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,,,english name:,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
intro:,,,,,,,,,,,,,,,,vil / recipe code,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,quantity,
source:,,,,,,,,,,,,,,,,calculator,
region:,,,,,,,,,,,,,,,,100,
,,,,,,,,,,,,,,,,,
ingredients:,,,,,,,,,quantity,,unit,,50 servings,75 servings,,servings,
1),,Rotini Pasta,,,,,,,1,,#,,5,7.5,,10,
2),,green and yellow squash -rough chop,,,,,,,1,,ct,,5,7.5,,10,
3),,Tomatoes - dice,,,,,,,2,,ct,,10,15,,20,
4),,Sliced black olives,,,,,,,0.5,,c,,2.5,3.75,,5,
5),,Green onions -chop,,,,,,,1,,bunch,,5,7.5,,10,
6),,Carrots -shred,,,,,,,0.25,,c,,1.25,1.875,,2.5,
7),,Dressing:,,,,,,,,,,,0,0,,0,
8),,Canola Oil,,,,,,,4,,oz,,20,30,,40,
9),,Crushed red pepper - taste,,,,,,,,,,,0,0,,0,
10),,Garlic clove,,,,,,,2,,ct,,10,15,,20,
11),,Shallot,,,,,,,1,,ct,,5,7.5,,10,
12),,Champagne Vinegar (or white wine vinegar),,,,,,,4,,oz,,20,30,,40,
13),,,,,,,,,,,,, , ,, ,
14),,,,,,,,,,,,, , ,, ,
15),,,,,,,,,,,,, , ,, ,
16),,,,,,,,,,,,, , ,, ,
17),,,,,,,,,,,,, , ,, ,
18),,,,,,,,,,,,, , ,, ,
19),,,,,,,,,,,,, , ,, ,
20),,,,,,,,,,,,, , ,, ,
,,,,,,,,,,,,,,,,,
"As it appears above, recipe yields how many servings?",,,,,,,,,10,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
cooking instructions:,,,,,,,,,,,,,,,,,
Blend dressing ingredients in food processor. Cook pasta al dente.  Roast Zucchinin and Squash in oven or on the grill till softened. Combine ingredients.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
comments:,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, 
