Unnamed: 0,Unnamed: 1,Unnamed: 2,target name:,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,,,english name:,,,Wild Rice Salad,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
intro:,,,,,,,,,,,,,,,,vil / recipe code,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,quantity,
source:,,,,,,,,,,,,,,,,calculator,
region:,,,,,,,,,,,,,,,,275,
,,,,,,,,,,,,,,,,,
ingredients:,,,,,,,,,quantity,,unit,,50 servings,75 servings,,servings,
1),,Wild Rice - Cooked,,,,,,,4,,cups,,12.5,18.75,,68.75,
2),,Edamame - Shelled and Cooked,,,,,,,2,,cups,,6.25,9.375,,34.375,
3),,Carrot - Small Dice,,,,,,,0.5,,cups,,1.5625,2.34375,,8.59375,
4),,Slivered Almonds - Toasted,,,,,,,0.5,,cups,,1.5625,2.34375,,8.59375,
5),,Craisins,,,,,,,0.5,,cups,,1.5625,2.34375,,8.59375,
6),,White Sesame Seeds - Toasted,,,,,,,1,,Tbsp,,3.125,4.6875,,17.1875,
7),,Green Onion - Sliced,,,,,,,3,,Tbsp,,9.375,14.0625,,51.5625,
8),,Fresh Parsley - Chopped,,,,,,,1,,Tbsp,,3.125,4.6875,,17.1875,
9),,Fresh Radish - Sliced,,,,,,,0.25,,lbs,,0.78125,1.171875,,4.296875,
10),,Whole Grain Mustard,,,,,,,1,,Tbsp,,3.125,4.6875,,17.1875,
11),,Vegetable Oil,,,,,,,0.5,,cups,,1.5625,2.34375,,8.59375,
12),,Balsamic  Vinegar,,,,,,,2,,Tbsp,,6.25,9.375,,34.375,
13),,Black Pepper,,,,,,,0.25,,tsp,,0.78125,1.171875,,4.296875,
14),,Salt,,,,,,,1,,tsp,,3.125,4.6875,,17.1875,
15),,,,,,,,,,,,, , ,, ,
16),,,,,,,,,,,,, , ,, ,
17),,,,,,,,,,,,, , ,, ,
18),,,,,,,,,,,,, , ,, ,
19),,,,,,,,,,,,, , ,, ,
20),,,,,,,,,,,,, , ,, ,
,,,,,,,,,,,,,,,,,
"As it appears above, recipe yields how many servings?",,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
cooking instructions:,,,,,,,,,,,,,,,,,
Make sure all the ingredients are cold.  Combine them.  Let sit at least 1 hour.  Serve.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
comments:,,,,,,,,,,,,,,,,,
Makes 16 half cup servings.  You can use Raisins instead of Craisins.  You can use Peas instead of Edamame.  You can give it a Oriental taste by subbing soy sauce for the mustard and rice vinegar for the balsamic.  You can add Smoked Turkey too.,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, 
