Unnamed: 0,Unnamed: 1,Unnamed: 2,target name:,Unnamed: 4,Unnamed: 5,Creamed Corn,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,,,english name:,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
intro:,,,,,,,,,,,,,,,,vil / recipe code,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,quantity,
source:,,,,,,,,,,,,,,,,calculator,
region:,,,,,,,,,,,,,,,,100,
,,,,,,,,,,,,,,,,,
ingredients:,,,,,,,,,quantity,,unit,,50 servings,75 servings,,servings,
1),,Onion -minced,,,,,,,0.25,,ct,,2.083333333333333,3.125,,4.166666666666666,
2),,Butter,,,,,,,2,,T,,16.666666666666664,25,,33.33333333333333,
3),,Corn,,,,,,,3,,c,,25,37.5,,50,
4),,Sugar,,,,,,,1,,t,,8.333333333333332,12.5,,16.666666666666664,
5),,nutmeg,,,,,,,0.125,,t,,1.0416666666666665,1.5625,,2.083333333333333,
6),,Heavy Cream,,,,,,,0.5,,c,,4.166666666666666,6.25,,8.333333333333332,
7),,Salt,,,,,,,,,,,0,0,,0,
8),,Pepper,,,,,,,,,,,0,0,,0,
9),,,,,,,,,,,,, , ,, ,
10),,,,,,,,,,,,, , ,, ,
11),,,,,,,,,,,,, , ,, ,
12),,,,,,,,,,,,, , ,, ,
13),,,,,,,,,,,,, , ,, ,
14),,,,,,,,,,,,, , ,, ,
15),,,,,,,,,,,,, , ,, ,
16),,,,,,,,,,,,, , ,, ,
17),,,,,,,,,,,,, , ,, ,
18),,,,,,,,,,,,, , ,, ,
19),,,,,,,,,,,,, , ,, ,
20),,,,,,,,,,,,, , ,, ,
,,,,,,,,,,,,,,,,,
"As it appears above, recipe yields how many servings?",,,,,,,,,6,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
cooking instructions:,,,,,,,,,,,,,,,,,
"1 In a large saucepan, melt 1 Tbsp of the butter on medium heat. Add the chopped onions and cook 2 to 3 minutes until translucent.
2 While the onion is cooking, remove the kernels from the corn. Stand a corn cob vertically over a large, shallow pan (like a roasting pan). Using a sharp knife, use long, downward strokes of the knife to remove the kernels from the cob. Use the edge of a spoon to scrape the sides of the cob to remove any remaining pulp.
3 Add the corn to the onions and butter in the saucepan. Add 2/3 a cup of water and the remaining 1 Tbsp of butter. Bring to a simmer, reduce heat and cover. Cook for 10-15 minutes until the corn is tender.
4 Add the sugar, nutmeg, and cream to the corn. Cook, uncovered, for 5-6 minutes, stirring occasionally. Add salt and pepper to taste.
",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
comments:,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, 
